,CH,W,CO,UW,NN,DT,RB,JJ,IN,GF,SMOG,RIX,DC,WT,S,LW,CW,NBW,DW,index,split
0,1355,263,7,141,48,27,11,27,35,11.236640165917734,9.80015041476705,3.3636363636363638,7.644177981334256,134,11,37,14,125,28,0,train
1,3548,677,54,309,114,42,49,40,92,9.472438470937337,9.168548406835143,2.7941176470588234,7.524732222028277,255,34,95,38,392,78,1,train
2,3082,617,4,255,91,49,36,42,76,13.832261366544401,8.841846274778883,4.052631578947368,7.550436227928005,243,19,78,19,305,65,2,test
3,3511,638,37,302,106,52,43,51,89,9.474410163339384,10.600634665860682,2.6842105263157894,7.513411499752516,258,38,101,65,331,96,3,train
4,3776,686,12,306,120,72,38,34,110,8.610241459221053,9.333382268041845,3.282051282051282,8.099680145025044,265,39,127,46,379,114,4,train
5,1691,303,13,181,43,20,23,19,44,12.212211221122113,11.698219412168324,4.916666666666667,8.380418151815181,167,12,59,27,166,47,5,train
6,1358,296,11,161,51,30,20,20,37,5.906009244992296,6.574015621080383,0.7727272727272727,6.067929892141756,150,22,16,7,154,15,6,train
7,3907,722,48,330,137,74,46,49,89,7.29090489381348,7.569512494915309,1.9375,7.57555835641736,276,48,95,28,441,100,7,train
8,3665,706,15,334,107,38,58,38,88,8.482290789372943,8.441846121484758,2.5135135135135136,7.35623606921369,298,37,90,32,370,80,8,train
9,2380,433,13,222,81,33,27,39,54,7.625287356321839,9.130062681391069,2.4827586206896552,7.189790261813537,197,29,70,32,223,50,9,train
10,1063,201,2,130,31,14,17,9,29,8.672727272727274,7.686295010490155,3.0,8.406868181818183,125,11,32,7,110,34,10,train
11,4484,848,36,401,131,81,55,56,123,10.351252955082742,9.3871,3.25,7.559842600472813,359,40,130,45,477,116,11,train
12,4527,850,3,335,127,58,43,46,105,18.681637979245636,10.30751831280988,4.7368421052631575,9.85570315665196,316,19,157,30,463,170,12,train
13,4481,841,57,395,120,73,55,47,134,10.107375076128882,9.500547302748984,3.292682926829268,7.6767229517705395,338,41,136,51,470,123,13,train
14,2127,413,12,226,70,27,29,23,57,7.6733753026634375,7.83995126065343,2.08,6.482211612590799,195,25,52,17,210,43,14,test
15,2433,460,9,229,68,26,56,37,51,13.5,10.686352973137792,4.3125,7.533978260869565,210,16,70,28,213,57,15,train
16,2861,519,19,240,83,33,43,43,62,9.240126794704457,10.738412736547279,2.903225806451613,7.813528131021195,210,31,82,45,307,94,16,train
17,4168,694,33,389,126,44,47,56,73,7.608439687114039,8.841846274778883,2.25,9.12014825030877,325,56,144,56,541,166,17,train
18,3375,627,27,286,107,43,29,31,83,8.00161715069916,8.638961771785754,2.0930232558139537,8.540183780275212,241,43,119,38,404,129,18,train
19,3693,658,49,371,107,45,52,38,87,6.615981959015591,8.155646560271837,1.8870967741935485,8.242383282674773,316,62,116,45,530,99,19,test
20,3110,622,8,245,102,56,39,54,87,8.115821584631874,8.5409612609427,1.7179487179487178,6.915369915079562,214,39,67,35,325,56,20,train
