index,Id,EssaySet,Score1,Score2,EssayText,split
460,27127,10,0,0,white :: White affects the dog house temperature becau se it has less heat obsorbing in it.,train
1479,26321,10,2,2,"dark gray :: If Brandi and Jerry painted the doghouse dark gray, I think it would be just warm enough in the winter and just cool e nough in the summer, because dark gray has the medium-warm temperature on the chart about the colored lids.",train
1355,26880,10,1,1,black ::  black would affect the doghouse because if it was to hot the dog wouldnt have know where to go but the doghouse the the dog house would be extremely hot,train
1503,26145,10,1,1,"white :: usually a dog house is only used in the summe r so to keep the dog a little less cooler they should use a white paint. bc i learned that all the colors bounce off white and go somewhere else a long with their heat. but blck has all the colors so it obsorbs all color s and their heat. so white would be best in the table it shows that the average temput ure for a white house is 42(DEG)c. the average temputure for lightgray i s 45(DEG)c, the average temp. for dark gray is 48(DEG)c, and black's av erage temp. is 53(DEG)c. thats an 11(DEG)c difference. whitch could be very important.",train
281,26671,10,2,2,"black :: if they painted the doghouse black, then it w ill be hotter inside the doghouse because the darker the color the more heat it will absorb. example: the black lid created the hottest air temperature in the jar.",train
961,27222,10,1,1,dark gray ::  the color will effect the dog house because i f it is black it will be hotter because it atracts more heat but if its w hite then it will atracts less heat.,train
570,26889,10,2,2,black :: Black would change the temperature of the dog house by making it warmer beacause black absorbs heat to most. With the black lid the temperture was 53(DEG)C. With the white lid the temperature was 42(DEG)C. There was 11(DEG)C difference.,train
332,27099,10,1,1,"white ::  white will effect the dog house.first this wi ll effect it because white will make it cooler in the summer,because whit e doesnt absorb very much heat.",train
86,26042,10,1,1,white :: the white is better for the dog house because it wont get to hot inside and not to cold.the hotest it would get in the house is 43 and the coldest it would get is 41,train
717,26464,10,2,2,"white :: If you paint the dog house white, it will sta y nice and cool and won't get too hot because the data showed that when t he lid was white, the average temperature, 42(DEG)C, was colder than the others. When the lid was black the average temperature was highest, 53(DEG) C, which is 11(DEG) more than the white lid's average.",train
287,27300,10,1,1,black :: The color might affect by since it is black i t will absorb more light energy which then makes the temputure higher so the inside will be warmer/hotter.,train
996,26680,10,0,0,white :: because in the graph is says the average is 4 2 and thats why i picked white cause different chemical.,train
1045,26888,10,1,1,white ::  reflect more heat to keep the inside cooler i n the sumer,train
1198,27038,10,2,2,"black :: The black paint will make the dog house warme r for the dog because the black lid on the jar aborbed the most heat, wit h the highest average temperature (53(DEG)C).",train
676,26602,10,1,1,black :: it will make the dog house really hot.,train
55,26062,10,2,2,white :: The color white would be a great color to use in a doghouse because the inside of the doghouse would be cooler for the dog soo when its hot then it wont be to hot in its house. I say this bec ause the average temp of the color white is 42(DEG)C while the other 3 c olors are above this average temp.,train
944,27491,10,2,2,"black :: The color black will affect the doghouse by m aking it a warmer environment for the dog. Plus if it is a cold winter, t he doghouse will help to keep the dog warmer. The data table shows that u sing the black lid color the air temperature was clearly around 12(DEG) higher then the white lid, about 10(DEG) higher in temperature than the light gray lid, and about 6(DEG) higher in temperature than the dark gray lid each trial. The average temperature was 53(DEG)C for the black lid, the average temperature for the dark gray lid was 48(DEG)C, the average tem perature for the light gray lid was 45(DEG)C, and the average temperatur e for the white lid was 42(DEG)C. It shows the black lid absorbs more he at to keep the doghouse warmer.",train
1487,27265,10,2,1,dark gray ::  the darker the color the warmer it is inside. and if it was black it would be to hot and white or light gray would get to cold.,train
920,26285,10,1,1,black :: Black will affect the dog house because when is sunny and bright the color will attract the heat and it will make it e ven hotter in the out side and the inside of the dog house,train
37,25992,10,2,2,white :: white will keep the dog house nice and cool s ince according to there data the white lid kept the air in the jar cooles t.,train
916,27150,10,1,1,white :: white will make the dog house cooler so its m ore comferable in hot weather.,train
7,26908,10,2,2,"black ::  The color ""Black"" would be the best color for the roof of a dog house because according to the results from the experiment, the air temperature inside is higher compared to other co lors.",train
663,26544,10,2,1,"black :: this would make the doghouse very hot and unc omfortable because, as shown in the expirament, black attracts heat bring ing more thermal energy to the dog house than other colors such as white.",train
183,26069,10,1,1,black :: Black will affect the dog house by heating it up because black absorbes more energy.,train
694,26546,10,0,0,black :: The color black might affect the dog house be cause black is the drakest color out of the's four colors.,train
641,27481,10,2,2,"dark gray :: If Brandi and Jerry used the color dark gray for their doghouse that would be the best color because it would keep the doghouse warm and cool depending on the seasons. The color dark gray in the jar experiment had an average of 48(DEG)C. That makes the temp erature of the doghouse in general, not to hot and not to cool based on t he jar experiment.",train
913,27459,10,1,1,white :: The color white does not absorb as much heat as a darker color and the doghouse wont get as hot.,train
955,26127,10,0,1,white :: the color on the outside will either heat up or cool down the doghouse and since white was still warm but not too hot so white is the best color for the doghouse.,train
1461,26573,10,1,2,"white :: White would be the best color. this is becaus e on average it had the lowest tempature inside, so it asorbed or blocked the most heat, it had an averge of 42 degrees while black had an average of 53 degrees",train
358,27093,10,1,1,dark gray :: This will keep the dog warm but it wont get to hot or cold.,train
109,27015,10,1,1,"white ::  The darker the color, the greatest increase i n temperature because darker colors absorb more energy. The white would keep the doghouse's roof cool on a very sunny day, since the light color doesnt absorb energy as fast as the dark colors.",train
1533,27110,10,0,0,white ::  its obsorves less energy from the sun than al l the darker colors,train
53,27238,10,2,2,white ::  If the color is a dark color then the tempera ture will increase more than if the color is a lighter shade. White was t he color that affected the temperature the least in the experiment and th at would be the best color for the doghouse's temperature.,train
865,26781,10,0,0,"dark gray :: The dog house would not be too hot in the sum mer if you did a dark gray, also if you chose a light gray it could be co ld in the winter, so there for dark gray would be the best color.",train
1338,26117,10,1,1,light gray ::  light gray is more as cooler than black or dark gray in the summer but black and dark gray will be warmer in the winter light gray or white. Meaning light gray is in the middle.,train
529,27519,10,1,1,white :: so if it is hot out side and the dog wants to go in side the dog house then it will be cooler because the color of the dog house is white.,train
369,26417,10,1,1,white :: it will make it cooler inside because the whi te coloer will deflect light from the house,train
141,27123,10,2,2,"white :: This color will make the air in the doghouse less hot, so the dog will be a lot cooler while in the doghouse. I know t his because in the experiment the air is hottest with a black lid and coo lest with a white one. So if the sun is beating down on the doghouse, it will only reach about 42(DEG) C, instead of 45(DEG) C or higher.",train
1090,26335,10,0,0,white :: white doesnt take in colors from the rainbow like black and other colors,train
823,27414,10,1,1,dark gray :: It will take in heat in the winter and won't take as much in in the summer as black would.,train
682,27081,10,1,1,"black :: The dark paint color is better because the gr eater the increase in air temprature in the doghouse ,becouse darker colo r absorbs more energy.",train
1077,25973,10,2,2,white :: If they colored the doghouse white then it wi ll be cool inside and not so hot like it would be if it was black. Because when the jar lid was black the inside of the jar was 53(DEG)C an d when it was white the inside of the jar was 42(DEG)C,train
767,27068,10,1,1,black :: Black is a dark color so it will absorb more heat and make the dog house a hot temperature.,train
306,26692,10,1,1,"dark gray :: That color (dark gray) might affect the dog h ouse by absorbing heat cause it is a dark color,but not as dark black,so it won't absorb so munch heat.",train
465,26609,10,1,1,black :: it wil heat the dog house up more than the ot her colors.,train
151,27423,10,0,0,white :: The darker colors will absorb heat faster tha n lighter colors.,train
1368,26208,10,1,1,"white :: If you paint the doghouse white, it will be c ooler inside than if you painted it black. Since black absorbs more energ y it will get hotter faster than if it was painted white.",train
569,27324,10,1,1,black :: i think the color black will make the isnside of the dog house warm because it is a dark color.,train
669,26331,10,1,1,"black :: black might affect the doghouse because its going to be dark,hot, and not cmfortable.",train
170,26122,10,2,2,dark gray :: the dark gray will keep the inside of the dog house warm enough in the winter and not to hot during the summer. the dar k gray was an average of 48(DEG)C which is not as hot as the black lid w hich was an average of 53(DEG)C and not as cold as the light gray which was and average of 45(DEG)C.,train
624,27410,10,1,1,white ::  Less heat in the dog house so there would be much more comfort for the dog.,train
809,26197,10,1,1,"white :: It might not give it much light from the sun or any heat because darker colors attract more energy and light. Just lik e with the jars and the lamp. The jar with a black lid had the highest av erage, therefore proving that darker colors attract more energy.",train
296,26485,10,2,2,white :: White will reduce the temperature in side the doghouse. In the experiment white had an average of 42(DEG)C while the other colors had higher temperature averages.,train
169,26260,10,2,2,white ::  painting a dog house white will keep it coole r than other colors. in the experiment white had an average temp of 42(DEG) C while black had a 53(DEG)C average,train
872,27237,10,2,2,"white ::  if the doghouse is painted white the air temp erature will be lower than light gray, dark gray, or black. the white lid jar had an average temperature of 42(DEG)C. the light gray lid had an a verage temperature of 45(DEG)C. the dark gray lid had an average tempera ture of 48(DEG)C. and the black lid had an average temperature of 53(DEG) C. therefor white will help make the inside of the doghouse cooler.",train
1463,27529,10,2,2,"white ::  white would make the dog house less hot. the data table shows that the white paint kept the jar cooler than the other paint in trial 1,2, and 3.",train
1099,26148,10,1,1,"light gray :: The doghouse should be light gray because tha t way the air temperature isn't to hot or to cold, it's just about in the middle.",train
252,27301,10,1,1,"white :: The color white will keep the doghouse cool u nder sunlight, because in the expirement, the white color reflects sunlig ht, not absorbing it. so, the doghouse will be cooler",train
1454,27115,10,0,0,black :: The color my affect the dog house because the dog might not be the same color as the house or the house will be to dar k because its black.,train
855,26627,10,1,1,"black ::  The darker the color, the warmer it will be i nside of the doghouse becuase darker colors absorb more energy.",train
253,27230,10,0,0,light gray ::  it would keep the dog house at a good temp. the entire year round.,train
566,27051,10,2,2,white :: It Was The Coolest With the Temp. Of 42(DEG) C. It would Be To Hot To Use Black Which Was 53(DEG)C. Inside The Jar.,train
817,27287,10,2,2,"dark gray :: This color would keep the temperature just ri ght. It wouldn't be too hot or to too cold. The average (DEG)C was 48(DEG) C, the lowest average wsa 42(DEG)C and the highest average was 53(DEG)C.",train
1191,26270,10,0,0,white :: White would make it more comfortable for the dog and it would be warmer than black because the black absorbs more ener gy than light colors.,train
1103,26972,10,1,1,"white :: you would probably want to choose white becua se that is the color that will keep it the coolest inside the dogouse, wh en the sun is shinning it is usually warm outside, and the dog will want to use it to cool off, not to get even more hot.",train
1580,26112,10,2,2,"dark gray :: The best paint color for the doghouse would b e dark gray. In the experiment of the glass jar it had an average of 48(DEG) C and was the second highest temperature. The highest temperature was the black lid with 53(DEG)C. The difference of the highest temperature and second highest temperature was the 5(DEG)C. If using the dark gray paint color it would still absorb energy to keep the dogs warm, but yet be a bit coo l for them too.",train
291,26875,10,1,1,dark gray :: I think dark gray is good because the t empeture is 48(DEG) and that's not hot so the dog is not going to be hot .And 48(DEG) is not cold either it's cool so the dog wont be cold or hot it'll be just right.But that's my opinion.,train
591,26032,10,1,1,"white :: The color of the dog house being white wil ca use the doghouse to stay cooler under sunlight. This is beacuse the color white reflects the light away from the doghouse, and the light will not be absorbed and turned into heat energy inside the doghouse.",train
1532,26377,10,1,1,white ::  if they used white for the color of the dog hous it would keep the inside of it cool because white reflects ligh t.,train
197,27329,10,0,0,black ::  It will make the inside of the dog house cold or warm .,train
852,26398,10,0,0,light gray :: This color should make the doghouse a nice co ol temperature cosistantly. I say this because in the data table light gr ay's average temp. was 45(DEG).,train
760,25987,10,1,1,black :: The black doghouse would keep you warmer in t he winter but it would be really hot in the summer,train
1399,26639,10,2,2,"light gray :: Using Light Gray would keep the tempurature a t an even or equal rate. If it was cold, it wouldn't keep it as warm, but not super cold either. If it was hot outside, the dog house would keep s orta cool, but not extremely hot either. The average of Black is a high a t 53 degrees. which is super hot. Then White would be too cold at an aver age temp at 42 degrees.",train
211,27337,10,1,1,black :: black is a darker color so there forth it att racts heat which would cause th tempatuer to go up,train
1377,26577,10,1,1,white :: it would keep the inside of the doghouse cool er,train
