source,llm
question,1. Does the essay identify specific obstacles faced by the builders? 2. Does the essay provide relevant information from the excerpt? 3. Does the essay support its points with specific details? 4. Does the essay address the topic of dirigible docking? 5. Does the essay demonstrate clear understanding of the excerpt?
rubric_4_text,1. Does the essay clearly describe the obstacles faced by the builders? 2. Does the essay completely cover the topic of dirigible docking? 3. Does the essay accurately represent the historical facts? 4. Does the essay focus specifically on the Empire State Building? 5. Does the essay provide a detailed explanation of the challenges?
rubric_4_elements_0,1. Does the essay include information from the excerpt? 2. Does the essay provide relevant details? 3. Does the essay use specific examples? 4. Does the essay demonstrate understanding of the excerpt? 5. Does the essay avoid irrelevant information?
rubric_3_text,1. Does the essay clearly describe the obstacles faced by the builders? 2. Does the essay provide a complete account of the challenges? 3. Does the essay accurately depict the difficulties encountered? 4. Does the essay focus on the dirigible docking aspect? 5. Does the essay maintain clarity throughout the description?
rubric_3_elements_0,1. Does the essay include information from the excerpt? 2. Does the essay provide relevant information? 3. Does the essay include specific details from the excerpt? 4. Does the essay include general information from the excerpt? 5. Does the essay include information not from the excerpt?
rubric_2_text,1. Does the essay mention obstacles faced by builders? 2. Does the essay focus on the Empire State Building? 3. Does the essay discuss dirigible docking attempts? 4. Does the essay provide a partial description? 5. Does the essay avoid full details or completion?
rubric_2_elements_0,1. Does the essay include information from the excerpt? 2. Does the essay include misinterpretations of the excerpt? 3. Does the essay provide limited information from the excerpt? 4. Does the essay include relevant details from the excerpt? 5. Does the essay demonstrate a clear understanding of the excerpt?
rubric_1_text,1. Does the essay mention obstacles faced by the builders? 2. Does the essay specify the Empire State Building? 3. Does the essay discuss dirigibles docking? 4. Does the essay provide a minimal description? 5. Does the essay focus on the attempt to allow docking?
rubric_1_elements_0,1. Does the essay include information from the excerpt? 2. Does the essay contain misinterpretations of the excerpt? 3. Does the essay provide little information from the excerpt? 4. Does the essay include no information from the excerpt? 5. Does the essay primarily rely on external sources rather than the excerpt?
rubric_1_elements_1,1. Does the essay address the given task? 2. Does the essay provide a clear response? 3. Does the essay contain relevant information? 4. Does the essay demonstrate understanding of the topic? 5. Does the essay meet the basic requirements of the task?
rubric_0_text,1. Does the essay address the given topic? 2. Does the essay demonstrate understanding of the topic? 3. Does the essay provide evidence or examples? 4. Does the essay contain relevant information? 5. Does the essay show comprehension of the topic?
