bsq,cluster,is_centroid
Does the essay identify specific obstacles faced by the builders?,5,False
Does the essay provide relevant information from the excerpt?,9,False
Does the essay support its points with specific details?,7,True
Does the essay address the topic of dirigible docking?,3,False
Does the essay demonstrate clear understanding of the excerpt?,0,False
Does the essay clearly describe the obstacles faced by the builders?,5,False
Does the essay completely cover the topic of dirigible docking?,3,False
Does the essay accurately represent the historical facts?,4,True
Does the essay focus specifically on the Empire State Building?,2,False
Does the essay provide a detailed explanation of the challenges?,1,False
Does the essay include information from the excerpt?,9,True
Does the essay provide relevant details?,9,False
Does the essay use specific examples?,1,False
Does the essay demonstrate understanding of the excerpt?,0,True
Does the essay avoid irrelevant information?,9,False
Does the essay clearly describe the obstacles faced by the builders?,5,False
Does the essay provide a complete account of the challenges?,1,False
Does the essay accurately depict the difficulties encountered?,4,False
Does the essay focus on the dirigible docking aspect?,3,False
Does the essay maintain clarity throughout the description?,10,True
Does the essay include information from the excerpt?,9,False
Does the essay provide relevant information?,9,False
Does the essay include specific details from the excerpt?,9,False
Does the essay include general information from the excerpt?,9,False
Does the essay include information not from the excerpt?,9,False
Does the essay mention obstacles faced by builders?,5,True
Does the essay focus on the Empire State Building?,2,True
Does the essay discuss dirigible docking attempts?,3,False
Does the essay provide a partial description?,1,True
Does the essay avoid full details or completion?,6,True
Does the essay include information from the excerpt?,9,False
Does the essay include misinterpretations of the excerpt?,0,False
Does the essay provide limited information from the excerpt?,9,False
Does the essay include relevant details from the excerpt?,9,False
Does the essay demonstrate a clear understanding of the excerpt?,0,False
Does the essay mention obstacles faced by the builders?,5,False
Does the essay specify the Empire State Building?,2,False
Does the essay discuss dirigibles docking?,3,True
Does the essay provide a minimal description?,1,False
Does the essay focus on the attempt to allow docking?,3,False
Does the essay include information from the excerpt?,9,False
Does the essay contain misinterpretations of the excerpt?,0,False
Does the essay provide little information from the excerpt?,9,False
Does the essay include no information from the excerpt?,9,False
Does the essay primarily rely on external sources rather than the excerpt?,8,True
Does the essay address the given task?,11,True
Does the essay provide a clear response?,1,False
Does the essay contain relevant information?,9,False
Does the essay demonstrate understanding of the topic?,0,False
Does the essay meet the basic requirements of the task?,0,False
Does the essay address the given topic?,11,False
Does the essay demonstrate understanding of the topic?,0,False
Does the essay provide evidence or examples?,1,False
Does the essay contain relevant information?,9,False
Does the essay show comprehension of the topic?,0,False
