source,llm
question,1. Does the answer draw a clear conclusion based on the student's data? 2. Does the answer describe two specific ways to improve the experimental design? 3. Does the answer describe two specific ways to improve the validity of the results? 4. Does the answer provide explanations for the suggested improvements? 5. Does the answer address the original question in a coherent and logical manner?
rubric_3_text,1. Does the answer draw a valid conclusion? 2. Does the answer support the conclusion with data? 3. Does the answer describe two improvements for the experimental design? 4. Does the answer describe two improvements for the validity of the results? 5. Does the answer meet all the above criteria?
rubric_3_elements_0,"1. Does the answer mention ""Plastic sample B""? 2. Does the answer compare stretchability? 3. Does the answer use the word ""more""? 4. Does the answer mention ""polymer plastics""? 5. Does the answer make a clear comparison?"
rubric_3_elements_1,"1. Does the answer mention ""Plastic sample A""? 2. Does the answer discuss ""stretchability""? 3. Does the answer state that ""Plastic sample A"" has the least amount of stretchability? 4. Does the answer provide a clear comparison with other samples? 5. Does the answer avoid introducing irrelevant information?"
rubric_3_elements_2,1. Does the answer address the topic of polymer plastics? 2. Does the answer mention stretchability? 3. Does the answer indicate a comparison or difference? 4. Does the answer provide a clear and relevant example? 5. Does the answer demonstrate understanding of the concept?
rubric_3_elements_3,1. Does the answer mention a measurement before the action? 2. Does the answer mention a measurement after the action? 3. Does the answer provide a numerical value for the before measurement? 4. Does the answer provide a numerical value for the after measurement? 5. Does the answer use consistent units for both measurements?
rubric_3_elements_4,"1. Does the answer mention ""samples""? 2. Does the answer mention ""thickness""? 3. Does the answer indicate that the samples should be of the same thickness? 4. Does the answer provide a clear instruction or requirement? 5. Does the answer avoid introducing irrelevant information?"
rubric_3_elements_5,1. Does the answer mention performing additional trials? 2. Does the answer provide a reason for performing additional trials? 3. Does the answer suggest a method for performing additional trials? 4. Does the answer acknowledge the importance of additional trials? 5. Does the answer discuss the potential outcomes of additional trials?
rubric_3_elements_6,1. Does the answer mention the number of weights? 2. Does the answer specify the addition of weights to the clamps? 3. Does the answer provide a clear numerical value? 4. Does the answer address the question directly? 5. Does the answer avoid irrelevant information?
rubric_2_text,1. Does the answer draw a valid conclusion? 2. Does the answer support the conclusion with data? 3. Does the answer describe one way to improve the experimental design or validity? 4. Does the answer describe two ways to improve the experimental design? 5. Does the answer fail to draw a conclusion or draw an incorrect conclusion?
rubric_1_text,1. Does the answer draw a valid conclusion? 2. Does the answer support the conclusion with data? 3. Does the answer describe how to improve the experimental design? 4. Does the answer correctly describe the improvement? 5. Does the answer incorrectly draw a conclusion?
rubric_0_text,1. Does the answer contain any correct information from the polymer investigation? 2. Does the answer address the main topic of the polymer investigation? 3. Does the answer provide any specific details from the polymer investigation? 4. Does the answer demonstrate understanding of the polymer investigation? 5. Does the answer contain any relevant examples from the polymer investigation?
