source,llm
question,1. Does the answer list three processes? 2. Does the answer describe each process? 3. Does the answer mention the cell membrane? 4. Does the answer provide accurate information? 5. Does the answer demonstrate understanding of the topic?
rubric_3_text,1. Does the answer identify three distinct processes? 2. Does the answer describe each identified process? 3. Does the answer relate each process to the cell membrane? 4. Does the answer focus on the control of substance movement? 5. Does the answer provide accurate information about the processes?
rubric_3_elements_0,"1. Does the answer mention ""passive transport""? 2. Does the answer state that substances move from higher to lower concentration? 3. Does the answer specify that no energy is required? 4. Does the answer avoid mentioning specific types of passive transport (e.g., diffusion, osmosis)? 5. Does the answer avoid mentioning active transport or other unrelated concepts?"
rubric_3_elements_1,1. Does the answer mention diffusion? 2. Does the answer mention water? 3. Does the answer mention the cell membrane? 4. Does the answer correctly describe the process? 5. Does the answer avoid any incorrect information?
rubric_3_elements_2,1. Does the answer mention facilitated diffusion? 2. Does the answer mention membrane involvement? 3. Does the answer mention control of the pathway? 4. Does the answer mention particles entering or leaving the cell? 5. Does the answer mention protein channels?
rubric_3_elements_3,"1. Does the answer mention the use of energy (ATP)? 2. Does the answer describe movement against a concentration gradient? 3. Does the answer specify the direction of movement (from low to high concentration)? 4. Does the answer use the term ""active transport""? 5. Does the answer correctly define active transport?"
rubric_3_elements_4,"1. Does the answer mention the process of endocytosis? 2. Does the answer describe the membrane engulfing something? 3. Does the answer mention the formation of a vesicle? 4. Does the answer state the purpose of bringing substances into the cell? 5. Does the answer use the term ""large molecules"" or similar?"
rubric_3_elements_5,"1. Does the answer mention the vesicle fusing with the cell membrane? 2. Does the answer describe the process of forcing molecules out of the cell? 3. Does the answer specify that large molecules are involved? 4. Does the answer use the term ""exocytosis""? 5. Does the answer correctly describe the direction of molecule movement (out of the cell)?"
rubric_2_text,1. Does the answer mention two distinct processes? 2. Does the answer correctly identify the first process? 3. Does the answer correctly describe the first process? 4. Does the answer correctly identify the second process? 5. Does the answer correctly describe the second process?
rubric_1_text,1. Does the answer identify a specific process? 2. Does the answer describe the identified process? 3. Does the answer relate to the cell membrane? 4. Does the answer discuss the movement of substances? 5. Does the answer demonstrate understanding of cellular control?
rubric_0_text,1. Does the answer identify any process? 2. Does the answer correctly identify the process? 3. Is the answer relevant to the question? 4. Is the answer missing? 5. Does the answer provide any meaningful content?
