index,Id,EssaySet,Score1,Score2,EssayText,split
682,9348,4,0,0,Invasive in this article means that people may be invaded the reptiles space and something happened.,train
144,9013,4,1,1,"The word ""invasive"" is significant throughout the article because the whole article is about how the python is rapidly invading the tropical climates of the U.S. One reason is because of Horncane Andrelilyns stated in paragraph 12,that really picked off the invasive capect of the large python.",train
440,9574,4,1,1,"From facts and how they use the word in the article, I think the word ""invasive species"" is like another word for dangerous or like its trying to take over the environment. I say this because its kind of like the word ""Invade"".",train
594,9075,4,1,1,The article uses the word invasive stating that pet reptiles could be a threat to the environment. In the article it states Macinnes feel that calling a reptile invasive species is unfair and passing judgement.,train
1258,8898,4,1,1,"The reader can infer that invasive means a growing population of species, since this article revolves around the fact that their numbers have increased. ""Invasive species are major threats to bio diversity."" That is very serious.",train
1160,8209,4,0,0,"The significance of the word ""invasive""is that they aren't welcomed or normal animals you'll see in a house. I still dont believe that's the right word to use them.",train
550,8541,4,1,1,The word invasive is important because it is used to describe how foreign animals are beginning to become native animals. The are invading our country and killing some of the natural creatures that live here.,train
1650,9533,4,1,1,"The word ""invasive"" is very significant in this article. The pythons in Florida are being invasive because they are populating areas where they haven't been before, and are thriving by eating native species.",train
868,8526,4,2,2,"The word ""invasive"" can be used to describe a species that is not native to a land, therefore invading it. The author explains how invasive species ""are major threat to biodiversity"". Nonative animals invade a land and sort of offset the balance of nuture in that area. This is significant to the entire article because the author is making the reader aware that invasive species are harmful.",train
37,8846,4,1,1,"The significance of the word ""invasive"" is to show how all these different reptiles are growing in population. ""The Burmese python, which is breeding up a storm in the Everglades."" They are in a sense, invaiding the country from spawmog all over.",train
589,8301,4,0,0,"Well the significase word invasive means to migrat of move, well in the book it's to migrat to a difrent place.",train
783,8832,4,1,1,"The word invasive is significant to this article because it defines the type of species. it helps the reader recognize what the animal is like. For example in the article it says, ""..invasive species, such as the burmese python.."" This shows how thw word ""invasive"" describes a type of lethal species.",train
89,9297,4,0,0,"The term invasive means very dangerous. In this article, pythons, lizards and snakes may seem as rare pet in one person, but also invasive or dangerous in another person.",train
1654,9396,4,1,0,Invasive means that the species are invading and that they do not belong here. They are invading the earth. They are on invasion to everything.,train
1417,8936,4,1,0,"Invasive in the article can be seen as a danger to other species ""The snakes of imperaring five endangered species.""",train
188,8966,4,0,0,The experiment is not planned and there's no one in control which is invasive .,train
170,8771,4,2,2,The word invasive is important to the article because it helps show how reptiles that are not typically found in the us are being brought here and are causing endangerment to US native species like the wood rat. Pythons would not be normally found in the Everglades and are invading the US and killing off our animals typically found here.,train
1488,9771,4,0,0,Invasive plays a big part in the articles. I shows that the animals that are dangerous can cause an intrusion.,train
806,9745,4,1,1,The significance of the word invasive in this article is that when you hear invasive you think of something bad invading a space where it not wanted but others try to say they are not in away that they are introduced to the area.,train
679,8079,4,1,1,"Invasive, meaning a foreign species that has made a home somewhere it isn't native to. For an example, in the article they speaks of how the Nile nonnter lead. can now be found around cape soral. The animal has the word ""Nile"" in its name.. its obviously not a native species to Florida.",train
7,8381,4,0,0,"The word ""Invasive"" signifies the fact that some people they find creatures in the world to be pets while others find them to be dangerous species. In the story it explains that reptiles such as pythons, lizards and anacondas are being thought. Some people find these animals to be dangerous.",train
215,9373,4,1,1,"Invasive specie refers to a specie that has adapted and lives in certain parts of the world or country according to climate. The map even shows that Americas Southern States are home to snakes because of their climate. ""A uses map showed potential python habitat stretching from California to Delaware and including much of the south."" para 15.",train
58,9207,4,0,0,"Invasive are species of animal like crocodiles, scorpion, snakes etc. They are animals that can harm you or any one.",train
228,9550,4,1,1,"Invasive in this article means unsafe. In the article it reads "" A python swallowed an alligator and these not a delicate way to put it exploded."" If the python ate an alligator, what is to say it wouldn't eat a small child.",train
847,8751,4,0,0,"The word ""invasive"" has a negative feel to the animals. Some say that the term ""invasive species"" is unfair and passes judgement. One could love the creatures but the others might not be too crazy for them and they'd call the animals ""invasive"".",train
1651,9024,4,1,2,"The significance of this word is how it describes the new species and whether or not it is too quickly passing judgement. MacInnes says, ""Even the term invasive is unfair..."" (Achenbech). MacInnes is pointing out that no real harm has been done yet. However, park rangers in the everglodes call his argument, ""articulos..the snakes..imperialing 5,,speaks"" (5).",train
716,8511,4,2,2,"The significance of the word ""invasive"" to the rest of the article is that species are taking over habitats that are not there own and changing the food chain. ""Biologists, however say that invasive species, unchecked by natural predator, and major threat to biodiversity"" (4) The significance of the word ""invasive"" is to show the reader how that nonnative animals could make natives animals become extinct.",train
601,8228,4,1,1,"The article uses ""invasive"" to emphasize how the lives of certain creatures can effect a human's standard of living in safety as well as other animals. Pythons are ""invasive"" because they eat most animals it's size , and because they pose a threat to humans by appearing in cars, homes, backyards, etc.",train
504,9516,4,0,0,"Invasive could mean a variety of things in this article expecially ""endangered"". Invasive is a significant word because of the way it sounds. So it gives the story and makes the endangered animals sound bad. At the same time it changes the mood because it makes the animals sourd as if they were just discovered.",train
169,8697,4,0,1,The significance of the word invasive is when pythons are invating the south of the U.S and are becoming a problem. They have invaded about a third of the contenantas United States.,train
263,9221,4,2,1,"""Invasive"" it means that it will disrupt the ecosystem when it is introduced. In the article, reptiles are labeled as invasive though they actually did not invade of their own record. They were merely introduced and had to fight and eat to survive.",train
