,essay_id,essay_set,essay,score,split,llm
1,18399,7,"@CAPS1 hour and thirty minutes, are you kidding! I said as my dad and I got into the line for the ride the maverick at @CAPS2 point. Thats what the sign says, but it could take longer, my dad replied. I said in a disappointed tone I gusse we can wait, but in my head I reminded myself you have zero, zipo, none no patience! Why did I say yeah. Right when my thoughts were done the line moved up a little. That was quick I thought. During that time to the time the line moved again I had occupied myself by watching people on the @CAPS3 and other rides go by. The line moved up again. Watching people didnt work this time, so I was thinking of how much fun the maverick would be to ride, and other rides I wanted to go on next. Those thoughts lasted half way in the line. My patience was running out. I started thinking about how close school was, how much I wanted to go back, how I didnt want to go back, what I would miss, and was looking forward to. We were almost there, but I was losing patience every seconde. I started to tap my fingers on the side of my leg. I thought nothing and just tapped my fingers and move up. We were finally at the front, and I didnt complain once! I got into a seat, and the ride started. At the end I was really worth it I thought. Now it was time to go on more rides and not complain. That was a time I was patient",22,train,Score: 18
2,19165,7,"Being patient is a hard task wright about. One day I was with my mom in @LOCATION1, looking for a pawn shop .We got stopped at nearly every red light on the way there .no one complained even when we reached a certain red light .Right before the light turned green a very old lady with a walker stepped infront of us we waited @NUM1 minutes for the old lady to pass .Supersising  still no one complained.",14,train,Score: 15
3,19333,7,"One time I was patient is when I went to get my hair cut and she told me to come at @TIME1. But when I got there at @TIME1, she had like @NUM1 people in front of me but I didn't care because I didn't have to do nothing after. So I was just going to sit there and be patient and I had my best friend with me so I wasn't bored and we was just sitting there talking and texting our boyfriends. So then the lady that was bout to cut my hair came to me and said I am so sorry, but I told you the wrong time and I said oh it's ok l can wait. And when she got done with they hair the ladies came to me and said they was sorry. So then she had @NUM2 person left and by the time she get done be getting on like @NUM3 - @NUM4. And that was the time I was being patient.",16,train,Score: 10
4,18874,7,"@PERSON1 is a young boy with a bladder of a squirrel and his waiting in line for the bathroom at the super @CAPS1. @PERSON1 said to himself, ''patience, something good always comes from being patient''. So he waited for his turn. @PERSON1 was in the middle of the line behind five people. @PERSON1 was a head of six people that were all doin the pee-pee dance. He learn to be polite in school so he let the six people go ahead of him. Ten minutes later, @PERSON1 entered the bathroom and he found a one hundred dollar bill on the floor. @PERSON1 knew more about finders keepers than being polite, so he took it. @PERSON1 learned being polite and patient is the right thing to do, plus it has its rewards sometimes.",20,train,Score: 15
5,18217,7,"I am going to tell you about a time I was impatient. I had been working everyday in the @DATE1. I was trying to do the best I could to make make money. I was saving up to by a three hundred dollar bow, a firty dollar target, forty dollar broadbands, and other hunting accessories. I was finding myself to get more impatient everyday. Slowly I was getting tired of working, bored of saving money, and tempted to spend it. Finally I saved up enough money. I bought my stuff. I practiced all day long. Soon I became more accurate. I was ready to go hunting. The first night I was out I passed up a doe at eight yards. I havent had anything close enough to shoot since then.",17,train,The essay does not fully
6,19162,7,"One time when I waited game but I couldnt get yet .So I asked  my mom if can she buy me a new game, how much does it cause? @NUM1 dollars then she said you have to wait for some days the @NUM2 went by then I finally asked my mom can she buy for me she said well yet .I said thank you .Then the next morning we went to the game store, then I saw the game I wanted,I told my mom that we went to the counter and bought my game .",12,train,The essay has several issues
7,18237,7,"When we drive to @CAPS1 I have to be patient. When we are in the car I really have to be patient because it takes @NUM1 hours plus the extra time we spend going to the restroom, out for lunch, plus we stay for the night. But when we are on the road it is so @CAPS2, That is how I need to be patient. I have to bring a car bag to entertain me. I contains a book, ped of paper. My dads laptop also. A big factor is my ipod. Exposcally I dont like that my legs got all??? and the??? ???. ??? ??? hate that felling. But at the end result I love??? you just have to be patient enough to get there and the end factor is the best.",18,train,Score: 12
9,19229,7,"It was a cool @DATE2 @TIME3. The sun was just coming up as I got into my box blind. It had snowed the @TIME1 but it was only @DATE1. Then again I was in the upper penisaala of @LOCATION1. I was hunting for a monster ten point with my brand new @NUM1 and @TIME2 gun could kill a dear @NUM2 yards. I have been sitting for an hour but it felt like a day. Ive only seen a squarile and he was fun to watch in all but not the rush you get when you see a deer. @CAPS1, @CAPS1! I was looking in the direction the sound was coming. @CAPS1, @CAPS1! gun up @TIME2 time my adrenilen hicking in. @CAPS1, @CAPS1! I see move ment put my scope on it and I see it. Its a its a grouse? I glowered the gun calmed down and watched it eat some corn. It was @NUM3. time for lunch and all I had was a turkey sandwhich, a apple, and a bottle of water. I started with my apple eating slowly while looking around when I  saw a brown figure move. I grabed my gun with my apple in my mouth. So picture @TIME2 a guy with all come on. An apple in his mouth, and look in a scope. As I looked  I realized it was him the big @NUM4. Massive horns, a big body and he was proble five maby six years old. I put my crosshairs just be hind the shoulder and I diehed the safety off. Slowly pulled the trigger. My mind a blur and @CAPS4! perfect shot. Later @TIME2 I found him and he was big @NUM5. I got him mounted and thats were he is now.",23,train,Score: 15
10,18627,7,One time when I was patient is when I was a little kid and my mom said we were going on a top to visit my cousins in @CAPS1 @CAPS2. I was just a little kid so I was very excited to take my first plane ride. When we finally got to @LOCATION1 I was so excited. I asked my mom when we got to the hotel can I go swimming. She told me to just be patient. So when we got to the hotel I was patient as long as I could be then I couldt wait anymore. So I put on my trunks and went swimming with my cousin. And that was a time when I was patient for something.,17,train,Score: 15
11,18325,7,"One of the most patient time I have ever had was in downtown @LOCATION1 at one of the greatest @CAPS1 places around @CAPS1 poupules! As I my dad and friend waited at our  table, @CAPS2 were very hungry. It had been @NUM1 minutes scince @CAPS2 orderd, but I stayed patient as much as I was mad and hungry I stayed indefatigable for my food. Finaly  it came and I was satisfied.",13,train,Score: 12
12,19212,7,"There has been many times I have been patient in my life before. But I think this one will intrest you most. Finaly we get to go to @CAPS1. @CAPS1 is this big indoor water park in @LOCATION1, @LOCATION2. I have been wanting to go here for years. When we get there my first thought is paradise little did I know that there was the biggest lines I have ever seen. And the lines were not just for the rides they were for every thing. In two days of fun it is already our last day at @CAPS1. So I wanted to ride all the rides one more time. my mom told me to go get my swimsuit on so we can go to the park. So I did. When we got to the park the shortest line I saw was probably an hour long. I was so disappointed I only got to go on like @NUM1 rides. But I knew it was time to go and leave paradise. We left around @NUM2 thinking we would be home by about @NUM3. And we were on our way back home. I was so bored it felt like it has been @NUM4 but really it has only been one hour. It was taking us so long to get home because it was snowing really badly. I asked my mum when we were going to get home she said just be patient. So I just went along with it and sucked it up. @CAPS3 we are home. I say running inside. In my head I am thinking that was the longest ride ever. I look over at the clock it was @NUM5. @NUM6 longer then we thought. But I had to go to bed right then (dans it no video games). That is a time I displayed patcience.",17,train,Score: 15
13,19107,7,You got try to be patient with homework. One time when I was doing my homework I started to be inpatient. Because I was having trouble. But then my dad said he was going to help me @CAPS1 he told me to be patient. @CAPS1 I sat there and sat. And stayed patient as l long as I could then he finely helped me. I usaly get unpatient when it comes to homework or something like that. You @CAPS2 need to try your hardest to be patient.,12,train,Score: 12
14,18977,7,"On @DATE1 I was with my dad at @NUM1 am. I was sitting watching hoping something would come & all of a sudden I grew tried & I fell asleep for an hour. When I woke up I was watching but nothing came for an hour as I was waiting & waiting & waiting. Then from many night I heard leaves cracking & I thought is it really true. On my first day I would shoot one I saw one. I was a little too excited! I reached to get my gun too quick & he ran away. On another day we came out I saw another dies but to my left this time. But I got my gun even slower this time & @CAPS1 I aimed & fired! Well thats what I thought but no it was jamed and @CAPS1 I had to unload it. Then my dad called me over the walky-talky, & asked what are you doing. @CAPS1 I said I see a doe, @CAPS1 he said then shoot it, & it stood there @CAPS1 I shot again & then it ran away, I missed I said all that patience for nothing.",19,train,Score: 12
15,19096,7,"One time I was patient was when my brother broke his arm. I was a fine day and was playing outside on the play ground, during lunch resses. He said that he was on the monkey bars. His hands got all sweaty and he slipped. Eric fell on his arm. He screamed. The resses ladies brought him to the office and called my parents. Then my parents called my school to tell them they were picking me up. They picked me up and then got my bother. We drove to the hospital and they did x-rays. It took forever. I sat there quietly for @NUM1 hours! My parents told me that they appretiated now I was very patient. That the time I was patient.",20,train,Score: 18
16,18429,7,"Patience. Patience is something I have absolutly nothing of! I take after my mom in this area. My mom is probably a little bit worse than me but we are both pretty bad. Sometimes we record t.v. shows and watch them later just because we dont want to have to wait through the @CAPS1. Some of the other things I hate to wait through are lines, people being late and just plain old waiting around. The longest amount of time I can stay patient for is about five minutes any  longer than that puts me over the edge. On by the way another thing is long car rides when I have nothing to do. I just wish we could have a @NUM1 hour drive turn into a @NUM1 minute drive but still end up at the same place. I really wish icould have more patience but I dont know how to get it. I really hope that you have enough patience to get through my story.",15,train,Score: 12
17,19208,7,"The time I was patient as when I was getting my dog. I had gone to a jazz festival with my mom, my sister, and her friend. We were walking past a last chance rescue and we went to see the puppies. My mom didnt want another dog but when she saw our future dog boxter she gave in. he has grey fur with some black spots and and a black line running down his fore. At the center of the ???. He was a grown short hair blue healer mix. We asked the lady if we could get him but she said they are going in sport and we could buy him there. We got in the car and ??? to ???. we signed the forms and played with him in the store. But ??? down town with him on the sosh and we got some ice cream and went home.",19,train,Score: 12
19,18919,7,"@CAPS6 was @NUM1 at night, @CAPS1 @CAPS2 and I was sooo anxious to know what I had gotten for @CAPS1 the next day. I couldnât go to sleep at all, because I was so excited for that awesome day to get my presents and celebrate @CAPS1. I love @CAPS1 because of all of the joy, fun, and happiness in everyoneâs sprit @CAPS6 is very rewarding and good to wait for things because if you wait, then good things will come to you and those around you.sometimes I already know some of the things I had gotten (because my mum is a bad hider)  for @CAPS1 I am patient with others others  because I would like for them to be patient with me as well. Treat others how you would like to be treated. I think @CAPS1 is the most joyful time of the year, donât you? @CAPS6 is fun to fellowship with pets, friends, and family because you become closer well, that is my patience response. Thank you for your time @CAPS9",13,train,The essay provided does not
20,18925,7,Once I was at an airport in @LOCATION1. We were coming home from @LOCATION2. After we got off the plane we had to go to customs. There were only two people working for @LOCATION3 citizens. The line was very long. After half an hour we were only half way through the line. There was a lot of waiting and a lot whining but we finally made it through. Of course they all thanked us for our patience and once the passport were stamped we were on our way to the next flight.,17,train,Score: 18
23,18374,7,A time when I was patient was when I was waiting for my dad to come home. From work so I could oven my package that I got before he left on a three day trip out of state so when he came back I goat to open it.,8,train,Score: 12
24,19176,7,"One time my volleyball team went to @ORGANIZATION1. I was one of the last people off our bus which means I was one of the last to order. I stayed there very patiently as everyone ordered. I talked to my friends as they waited too. Next I figured out, what I was going to eat, (@CAPS1 cheese, burger, @CAPS2 fry, and a large drink). @CAPS3 @CAPS4, @CAPS3 @CAPS4 as I watched the clock my eyes got droppy @CAPS7, @NUM1 the lady said. @CAPS8 @MONTH1 I take your order, she said. I told her what I wanted and she put it on her register and I began to wait. A couple minutes later I got my order. Finally after being patient I got my food. That was the time I was patient at @ORGANIZATION1s???",17,train,Score: 15
