,CH,W,CO,UW,NN,DT,RB,JJ,IN,GF,SMOG,RIX,DC,WT,S,LW,CW,NBW,DW,index,split
0,766,140,10,81,38,22,2,23,19,15.626618705035973,10.125756701596842,4.25,10.69916474820144,78,4,21,6,96,30,0,train
1,58,13,0,12,0,1,1,3,1,4.4,3.1291,0.0,5.617554545454546,14,1,0,0,9,0,1,test
2,384,72,0,46,21,15,0,6,9,8.11361502347418,8.841846274778883,1.8333333333333333,9.116109389671362,47,6,11,6,44,15,2,train
3,473,93,0,55,30,18,1,8,12,7.872463768115942,8.344100000000001,1.5,7.48638115942029,55,6,12,5,51,10,3,train
4,90,19,0,17,4,2,1,3,1,7.2,3.1291,2.0,6.283744444444444,18,1,2,0,11,0,4,test
5,193,37,0,24,8,5,3,7,5,18.844444444444445,14.554592549557764,5.0,9.808211111111111,24,1,5,4,19,8,5,train
6,277,59,1,39,12,8,1,5,8,11.600000000000001,3.1291,3.0,6.708348275862069,39,2,6,0,26,6,6,test
7,197,36,1,30,11,7,1,5,6,17.428571428571427,13.023866798666859,6.0,8.981642857142857,32,1,6,3,26,6,7,train
8,190,37,4,27,8,4,0,5,1,8.9,8.841846274778883,1.5,10.35135,26,2,7,2,26,3,8,train
9,224,51,0,34,6,3,3,5,5,10.0,3.1291,1.0,6.7713,36,2,1,0,23,1,9,train
10,161,30,1,26,7,2,1,3,2,11.600000000000001,3.1291,3.0,8.341796551724137,29,1,3,0,19,6,10,train
11,121,23,0,20,5,3,1,1,4,12.436363636363637,11.20814326018867,3.0,8.316336363636363,20,1,3,2,15,4,11,test
12,405,82,6,52,13,7,8,16,6,12.281481481481482,8.841846274778883,1.6666666666666667,7.120020987654321,49,3,4,3,46,6,12,train
13,112,24,0,19,4,2,1,6,2,4.6000000000000005,3.1291,0.5,9.699073913043478,20,2,1,0,14,2,13,test
14,148,28,1,23,5,3,2,3,4,13.762962962962963,11.20814326018867,3.0,7.314959259259259,25,1,3,2,19,4,14,train
