,essay_id,pred
0,6409,-0.21140211734273973
1,6827,1.0283300440784264
2,7343,-1.0200232673179406
4,6538,-0.9450384218566095
5,7250,0.6609225569730321
6,7064,-0.16053081230652055
7,7163,-0.10059097493330146
8,7060,-0.6422163807636827
9,7031,0.3683571218883725
12,6080,-0.07853103061068677
13,6265,-0.13902973462434745
14,7396,0.9577483186712987
15,6630,-0.6310017399792807
16,7521,0.853399866968548
18,6391,-0.8585691529026037
20,7330,-0.08654197406060363
21,7672,0.6026401420501113
22,6133,-1.5462087493954384
23,6715,-1.9862717232228626
24,7022,-0.40422708353219966
25,7089,0.9086720518302152
26,6097,-1.1678565952194808
27,6353,0.7837476181662061
28,6596,0.29818230041977084
29,7088,0.07386084355998022
30,6021,-0.9888079000754967
31,6408,1.5359772860505962
32,6191,0.5587006799646852
35,7082,1.0538477883102466
38,6813,0.010456042133627356
40,6845,1.4948975869908003
42,7307,1.5358802692697187
43,7666,0.1738036930464227
44,7545,1.3224589592805374
46,7352,1.3510680528473125
47,7236,-1.4840897904934416
50,6395,-0.7133632999954354
51,7377,0.5664477428323319
52,6183,1.5171892588594182
54,7311,0.32104139001063176
56,7332,-0.5059382502363572
57,6516,1.137374071315346
58,6062,0.8581327438860478
59,6645,0.5028024069973301
60,6576,-0.5887983911528906
61,7220,-0.8176905064975307
62,6218,0.04784954535879473
63,7703,0.16734737930541568
64,7169,0.7760824143756313
66,6707,0.49484431696294545
67,6010,-0.556434758844936
68,7294,-0.4077209956594946
70,7200,0.13973285023997783
71,7159,1.4899735801950342
72,7092,-0.6289990139348516
73,6359,-1.7525842087879102
74,6347,-1.263557155675727
75,7547,1.1904412988389979
76,6311,-0.7090845900264279
77,7201,-1.0291722099563574
79,7694,1.1895860619957916
80,6477,0.16158883297588394
81,6243,0.49053620300516215
83,6584,1.1548576017451586
84,7650,0.06109343230008718
85,7317,1.5423347895068984
86,7344,1.1671254375289986
87,7259,-0.5401228430395055
88,6883,0.04262319827282935
89,7548,0.7610615388177996
92,6144,0.2644319254814059
93,7669,0.29797731491117124
96,6782,-1.9952826647871535
97,7065,0.4381997295854832
98,6734,-2.1226924584649685
