source,llm
question,1. Does the essay identify features of the setting? 2. Does the essay explain how these features affect the cyclist? 3. Does the essay include examples from the text? 4. Does the essay support its conclusion with these examples? 5. Does the essay provide a clear conclusion?
rubric_3_text,1. Does the essay identify key themes or ideas from the text? 2. Does the essay provide evidence from the text to support its points? 3. Does the essay analyze the text's structure or style? 4. Does the essay discuss the text's historical or cultural context? 5. Does the essay explore the text's deeper meanings or implications?
rubric_3_elements_0,1. Does the essay answer the question asked? 2. Does the essay cover all parts of the question? 3. Does the essay stay focused on the topic? 4. Does the essay provide relevant information? 5. Does the essay meet the requirements specified in the question?
rubric_3_elements_1,1. Does the essay use explicit information from the text? 2. Does the essay use implicit information from the text? 3. Does the essay accurately interpret the text's information? 4. Does the essay integrate information from the text effectively? 5. Does the essay demonstrate understanding of the text's main ideas?
rubric_3_elements_2,1. Does the essay go beyond the surface meaning? 2. Does the essay provide additional insights? 3. Does the essay explain concepts clearly? 4. Does the essay connect ideas effectively? 5. Does the essay demonstrate critical thinking?
rubric_2_text,1. Does the essay show a basic understanding of the text? 2. Does the essay provide literal interpretations of the text? 3. Does the essay include some key details from the text? 4. Does the essay show a limited analysis of the text? 5. Does the essay demonstrate a partial comprehension of the text's main ideas?
rubric_2_elements_0,1. Does the essay address the main question? 2. Does the essay cover all parts of the question? 3. Does the essay provide relevant information? 4. Does the essay stay focused on the topic? 5. Does the essay show some development of ideas?
rubric_2_elements_1,1. Does the essay reference the text? 2. Does the essay show understanding of the text? 3. Does the essay use explicit information from the text? 4. Does the essay use implicit information from the text? 5. Does the essay demonstrate comprehension of the text's main ideas?
rubric_2_elements_2,1. Does the essay present a clear conclusion or assertion? 2. Does the essay provide supporting evidence? 3. Does the essay connect support to the conclusion or assertion? 4. Does the essay analyze the support in relation to the conclusion or assertion? 5. Does the essay effectively use textual evidence to support the conclusion or assertion?
rubric_1_text,1. Does the essay mention key events from the text? 2. Does the essay identify main characters from the text? 3. Does the essay reference specific details from the text? 4. Does the essay demonstrate a basic understanding of the text's plot? 5. Does the essay show awareness of the text's central theme?
rubric_1_elements_0,1. Does the essay demonstrate understanding of the main idea? 2. Does the essay provide evidence of interpretation? 3. Does the essay show personal reflection? 4. Does the essay connect to prior knowledge? 5. Does the essay use textual evidence?
rubric_1_elements_1,1. Does the essay misinterpret the main idea of the text? 2. Does the essay misread key details from the text? 3. Does the essay misrepresent the question's requirements? 4. Does the essay contain factual inaccuracies from the text? 5. Does the essay show a misunderstanding of the text's context?
rubric_1_elements_2,1. Does the essay provide relevant information? 2. Does the essay include supporting details? 3. Does the essay address the question? 4. Does the essay explain connections to the text? 5. Does the essay demonstrate understanding?
rubric_0_text,1. Does the essay address the given topic? 2. Does the essay contain any relevant information? 3. Does the essay contain any correct information? 4. Does the essay contain any incorrect information? 5. Is the essay blank or empty?
