,index,split,Id,c5 (N),c5 (Y),c6 (N),c6 (Y),c2 (N),c2 (Y),c11 (N),c11 (Y),c4 (N),c4 (Y),c10 (N),c10 (Y),c0 (N),c0 (Y),c3 (N),c3 (Y),c8 (N),c8 (Y),c9 (N),c9 (Y),c1 (N),c1 (Y),c7 (N),c7 (Y)
0,0,train,27109,0.1651370525360107,0.7339601516723633,0.1945451647043228,0.6832060217857361,0.116775669157505,0.7865902781486511,0.0850556045770645,0.8311088681221008,0.1296576708555221,0.7728562951087952,0.1884678155183792,0.6911149621009827,0.0582081414759159,0.894057035446167,0.1064476743340492,0.8219397664070129,0.1002421528100967,0.8212825655937195,0.7815485000610352,0.221709132194519,0.1199449449777603,0.776244044303894,0.3970804810523987,0.4434596002101898
1,1,test,27135,0.9155839085578918,0.1201944053173065,0.9161812663078308,0.1160260364413261,0.9110621213912964,0.1174793094396591,0.0664765536785125,0.8269842863082886,0.9100891947746276,0.1200273782014846,0.9115517735481262,0.1150856763124466,0.0538925752043724,0.8887125849723816,0.532620906829834,0.3811041414737701,0.6335334181785583,0.3237504363059997,0.910503089427948,0.1152341812849044,0.5933405756950378,0.3590386211872101,0.9080764055252076,0.112498752772808
2,2,train,26985,0.1463567167520523,0.7500736713409424,0.19344162940979,0.6826697587966919,0.1020924896001815,0.8030141592025757,0.0643092840909957,0.8448262810707092,0.1391878128051757,0.777946949005127,0.1994597315788269,0.6857593655586243,0.0484731346368789,0.9127647280693054,0.1036267802119255,0.8409903645515442,0.0969497188925743,0.8385711312294006,0.8079273104667664,0.1525315046310424,0.1030551046133041,0.8161160349845886,0.534243643283844,0.3094362318515777
3,3,train,26396,0.116658054292202,0.7754167914390564,0.1537186503410339,0.7116731405258179,0.0816468372941017,0.8195080161094666,0.0634553954005241,0.8558332324028015,0.1051957011222839,0.7978993058204651,0.1542261093854904,0.7156538963317871,0.0426303371787071,0.916938066482544,0.0796876326203346,0.8565467596054077,0.0738049522042274,0.8554846048355103,0.809232771396637,0.1611746996641159,0.083206333220005,0.8337742686271667,0.4625848531723022,0.364745020866394
4,4,test,26608,0.9083728790283204,0.1199537143111229,0.9113050699234008,0.1157866567373275,0.9076647758483888,0.11536256223917,0.0653330534696579,0.8312995433807373,0.9085575938224792,0.1195411384105682,0.9088363647460938,0.1136875003576278,0.0589635595679283,0.8810305595397949,0.4859338998794555,0.4026122391223907,0.5885605216026306,0.332656979560852,0.9076839089393616,0.1153194084763526,0.5601778030395508,0.3660517036914825,0.905558943748474,0.1130474358797073
5,5,train,27508,0.7379477620124817,0.2524933218955993,0.7680956721305847,0.2322354912757873,0.6119586229324341,0.3327893912792206,0.0666443929076194,0.8433353900909424,0.7419329881668091,0.2575086653232574,0.7201157212257385,0.2524346709251404,0.0453702583909034,0.8832263350486755,0.3551549315452575,0.5436134338378906,0.3701626360416412,0.4889803230762481,0.876041054725647,0.1348380744457245,0.3954700529575348,0.4716735184192657,0.8270972967147827,0.1801606565713882
6,6,test,26789,0.5222185850143433,0.3810717761516571,0.5826652646064758,0.327758640050888,0.3545001149177551,0.4944504499435425,0.0627383813261985,0.8335367441177368,0.468232661485672,0.4348162114620209,0.6061456203460693,0.3129562437534332,0.0506894960999488,0.8667053580284119,0.2663481831550598,0.6297050714492798,0.2991519570350647,0.5716497302055359,0.8446993827819824,0.1303541511297226,0.3214167058467865,0.5236693620681763,0.8130919933319092,0.1546634137630462
7,7,train,26908,0.6293589472770691,0.3630369007587433,0.6821114420890808,0.3082920014858246,0.4913331866264343,0.4783915281295776,0.0635575726628303,0.8494169116020203,0.6338860988616943,0.3782521784305572,0.6817903518676758,0.3139669001102447,0.046365525573492,0.8856539726257324,0.3555517792701721,0.5883054733276367,0.4012430310249328,0.5393218398094177,0.8638556003570557,0.1257795840501785,0.4206394553184509,0.5059277415275574,0.8350398540496826,0.1677394956350326
8,8,train,26098,0.3990944623947143,0.5587876439094543,0.4940182566642761,0.4938558638095855,0.2619642317295074,0.6637420654296875,0.057050984352827,0.8461387753486633,0.373385339975357,0.6170408129692078,0.498487651348114,0.4741290509700775,0.0693755820393562,0.8844496011734009,0.1900124251842498,0.7467471361160278,0.2254625111818313,0.7223697304725647,0.8441811800003052,0.1381593346595764,0.2462074756622314,0.6694959998130798,0.7797737717628479,0.1907089203596115
9,9,train,26984,0.7325276732444763,0.223481997847557,0.7754257321357727,0.1971725970506668,0.5703299045562744,0.3216385841369629,0.0640985742211341,0.8296332955360413,0.7140851020812988,0.2698087990283966,0.7447357177734375,0.2122713923454284,0.0468377918004989,0.8688001036643982,0.3866904079914093,0.4925021529197693,0.4499013721942901,0.4240061342716217,0.8518254160881042,0.1283584684133529,0.4680974781513214,0.3890132904052734,0.842986524105072,0.1332869529724121
