,index,EssayText,bsq,label,set,b
0,1249,"Pandas in China are similar to koalas in Australia in that they are exclusive about their habitat, and especially eating requirements. Panda's eat almost nothing but bamboo, while koalas eat eucalyptus leaves exclusively. They are both different from pythons, because they are very invasive, and will eat whatever crosses their path.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
1,348,"Pandas in China are similar to Koalas in Australia, because their both specialist and they both stick to one main food. Pandas rely on bamboo and Koalas rely on eucalyptus leaves. They are diff from pythons because pythons are all over the world while pandas and koalas are in one place, also because a python is a snake and a generalists, while pandas and koalas are not.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
2,98,"Pandas in china are similar to koalas in Australia because they both almost always eat the same thing. In the article it says Chinas panda which eats almost nothing, but bamboo & Australia's koala eats eucalyptus leaves almost exclusively. They differ from pythons because",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
3,1064,Pandas are similar to Koalas in Australia because they each eat one specific food and they are both considered a specialist according to paragraph 21. They are both different from pythons because a python is a generalist and they don't need such a specific thing like pandas and koala according to paragraph 13.,Does the answer mention that pandas and koalas have similar diets?,1,train,c3
4,934,"Pandas in China and koalas in Australia are both specialists while pythons are generalists. Pandas and koalas are also similar in the fact that they eat one thing, almost exclusively pandas eat bamboo and koalas eat eucalyptus leaves. Pythons, on the other hand, eat a variety of food; rats, other rodents, and even tried to eat an alligator, but it exploded in the process. Pandas and koalas also are confined to one part of the world, while pythons are now in many.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
5,89,"Pandas in China are similar to koalas in Australia because they are both specialists. Both eat almost nothing but a certain type of plant from their native lands. Both koalas and pandas are different from pythons in that, according to the author, pythons are generalists. They are able to live in many places though small adaptations such as eating whatever animals they can find.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
6,204,"A China panda eats almost nothing, but bamboo koalas bear eat eucalyptus leaves, those two animals are similar because they both eat a food amount of leaves or something that is green. Those two animals are different from pythons because pythons hurt and wrap their pray around them. Panda's and koala bears stay in rain forests, pythons you will mostly catch them in an hot enviroment.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
7,1735,"Chinese panda are similar to koalas in Australia be cause the both eat what nature has provided for tem such as bamboo and eucalyptus leaves. While on the other hand pythons prey on other animals, killing them.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
8,191,"Pandas and koalas are both specialist animals meaning they only eat one exclusive thing or live in one exclusive area. Pythons are generalists, they eat many different things & can live in a large selection of habitats.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
9,201,Pandas in China are similar to koalas in Austrila because they both primarily eat only one thing. For pandas its bambo an koalas its the eucalyptus leaf. They are both different from pythons because they would have a harded time adapting because pythons eat almost anything and they only eat one thing.,Does the answer mention that pandas and koalas have similar diets?,1,train,c3
10,677,"Pandas are similar to koalas because pandas eat nothing but bamboo and koalas eat nothing but eucalyptus leaves. Its also says in the Article ""they are both specialists.""",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
11,352,"Panda's in China are similar to koalas in Australia because they are both specialist's. In China, the panda eats almost nothing but bamboo and in Australia, the koala bear eats almost nothing but eucalyptus leaves. They're both different from pythons because other species are specialists, then pythons. Pythons are the generalists.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
12,1804,"Pandas in China are similar to koalas in Australia because they both are similar creatures who don't migrate a lot and who have adapted to their environments. For example, ""A specialist is China's panda,which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"". These are different from pythons because pythons eat many things and go different places. For example,"" the snakes are imperiling 5 endangered species in the Florida Keys..."".",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
13,604,"A specialists in China's panda, which eats almost nothing but bamboo, or Australia's Koala beer. A python swallowed an alligator they eat totally different things.",Does the answer mention that pandas and koalas have similar diets?,0,train,c3
14,402,"The pandas in China and koalas in Australia are both specialist species. They have a limited food source as the panda can only eat bamboo and the koala can only eat eucalyptus leaves. The python on the other hand is a generalist as it could live is a wide range. According to the map, the python can live on about a third of the United States; places the panda and koala probably could not live.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
15,1390,"The pandas in China and the koalas in Australia are similar because they are warm, furry mammals. The pythons is a reptile and its not warm or furry.",Does the answer mention that pandas and koalas have similar diets?,0,train,c3
16,930,"Pandas in China are similar to koalas in Australia because they are both specialist, they live in one certain place and eat one certain thing. On the other hand pandas are diffrent from pythons because pythons are a generalist species and can live almost half the US and eat almost anything.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
17,1521,"Pandas in China and Koalas in Australia both are considered to be specialists which more they rely on certain food and do not like change. 'What favors specialists in stability."" Pythons on the other hand are generalists which means they can adapt rather quickly and live in most different locations. Pythons can adapt to change unlike pandas and of Koalas.",Does the answer mention that pandas and koalas have similar diets?,0,train,c3
18,1439,They are both similar because of eating only one food which they both have in common. And a python is a generalist to where the panda and the koalas are specialist.,Does the answer mention that pandas and koalas have similar diets?,1,val,c3
19,804,"Pandas and koalas are both specialist species and only eat, one type of food. They are different from pythons because pythons are generalists and eat a verity of food.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
20,430,"A panda from china and a koala bear from Australia are similar because they both only eat one type of food the article says that the panda only eats bamboo and the koala bear only eats eucalyptus leaves. They are different from pythons because they are like ""human beings,"" says the article",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
21,579,"Pandas almost eat nothing but bamboo like a koala bear only eats eucalyptus leaves. Pythons are completly different, they will eat anything they find, like a wood rat or even an alligator.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
22,686,"Pandas and koalas are similar because they are specialists and a python is different because it is a generalist. According to the article racoons, pythons, cock roaches and white tailed dear are all generalists, therefore a generalist can live anywhere with assistance of technology.",Does the answer mention that pandas and koalas have similar diets?,0,train,c3
23,958,"Panda  and koalas are similar because they're both specialists and they both eat pretty much only one type of plant. They are both different from pythons because pythons are generalists, so they will eat almost anything; also pythons are invasive and pandas are koalas are not.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
24,1767,China's panda is similar to Australia's koala because they basically eat the same thing act the same. They're different from pythons because they don't eat other animals. Most people would think a panda is better than a python because snakes can be dangerous.,Does the answer mention that pandas and koalas have similar diets?,1,train,c3
25,1297,Pandas in China share traits with koalas in Australia. They both have the same diet which is bamboo. They also live in the same climate,Does the answer mention that pandas and koalas have similar diets?,1,train,c3
26,180,"Panda's only eat bamboo, koala's only eat eucalyptus leaves. Koalas and pandas only eat certain things. Pythons on the other hand pose a major threat which pandas and koalas dnt. Pythons eat key largo wood rats. They have to have tracking devices.",Does the answer mention that pandas and koalas have similar diets?,1,train,c3
