,index,essay,bsq,label,set,b
0,414,"Laughter's @CAPS1 Laughter is everywhere. It @MONTH1 be three doors down reclining in a comfy living room. It @MONTH1 be at the nearest playground bouncing on the teeter-totter. It @MONTH1 be at an elegant restaurant sitting at a petite table in the distant corner. For me, it lingered in an old fifth grade classroom. I stumbled through the doorway carrying @CAPS11 purple backpack and @CAPS11 lunch pale resting in @CAPS11 left hand. I recognized everyone from @CAPS11 previous years of elementary school, and shortly joined them after visiting @CAPS11 hook outside the door. I had been waiting anxiously for @CAPS11 turn at the fifth grade. The legendary @PERSON1, was known as the ""coolest"" teacher around. He played a large role in the gossip of the young students, and each of us had our hopes set high. ""@CAPS2 your seats @NUM1 graders!"" announced @PERSON1 @CAPS3 with a contagious smile. Kids scattered around to room searching for seats near their closest friends. Everyone listened attentively to @PERSON1's introduction to the year. His voice caught our full attention, but not too exciting compared to our expectations. He appeared very nice as most teachers come, but still nothing spectacular. The day dragged on. The sleepy faces returned and the vivid colors had escaped our touch. The day finally reached an end, not satisfying the eager children. The next day rose quickly and I trudged back to the disappointing classroom. To @CAPS11 surprise, the next day was nothing like the first. The classroom @CAPS7 experienced a drastic change. Every wall was filled with endless color. Posters layered over the plain paint with fascinating pictures and words. A fancy popcorn machine rested in the back of the room. Fresh popcorn overflowed from inside. The smell traveled through our needy nostrils as we entered. Mr. @CAPS3 sat contently at his broad desk as we made our way to our seats once again. He welcomed us to our second day. After the first couple minutes of class I had found that the rumors were true. He had a sense of simple humor that created giggles in every corner of the class. His ideas and word choice related to us as @NUM1 graders. We found his subtle jokes quite amusing to our young minds. He spoke like we spoke, he acted like we acted, and he joked like we joked. He even created customized nicknames for each of us. Laughter hung over our heads like a heavy @CAPS1, never continuing along. Weekly popcorn servers would hand out stuffed bags to all the kids as the class read aloud. Kids became ecstatic on jeopardy @CAPS4 gathering teams as quick as possible. His classroom became a place that we wanted to stay forever, never parting from hour long games and water chugging contests. Despite the everlasting fun and games, @PERSON1 showed us what it was really like to be a learner. He cared about our future and pushed us to strive in every moment of life. He taught us to write with desire and worth. To express our feelings on paper and tell the world a story that we want heard. He would plan one on one time with students struggling in a particular subject, and next class their confidence had bloomed. He had an ability to reach into our minds, find out who we were, and emerge that hidden confidence to become @CAPS9. We respected him, yet felt comfortable messing around with him during class as he had frequently done to us. @PERSON1 gave us a craving to learn.  @DATE1 @TIME1, I had began to walk home, when @PERSON1 @CAPS3 stopped me at the door.  ""@CAPS6 @PERSON2C!"" I unexpectedly said in a high tone, not hiding @CAPS11 enthusiasm. He chuckled, ""@CAPS7 fun at class today?"" ""@CAPS8 yeah,"" I answered with a grin. ""I'm glad"" he continued, then changing the subject, ""I was thinking about having a huge dodge ball tournament at recess tomorrow. Do @CAPS10 think that would be a good idea?"" I snickered to myself, trying to comprehend the fact that an adult had said this to me, ""That would be so fun."" ""@CAPS9,"" he expressed quite excited, ""@CAPS10 are a really neat kid, @CAPS10 know that? Its a lot of fun having @CAPS10 in class."" @CAPS11 face lit up. I stood there smiling for quite some time. We finished our slight conversation and I continued home. Every student in the class yearned to be liked by @PERSON1, as if he were the most popular kid at school. I was liked by @PERSON2 I was liked by the man that changed @CAPS11 whole outlook on education and life. Gradually, from time to time, I drift back to the careless days of @NUM1 grade and @PERSON2 I still laugh at the ridiculous events that occurred in that small classroom each and every day. Frequently, I glance above me to witness that dense @CAPS1 that still hovers above me. Laughter has left a mark on me, and those kids of @CAPS11 @NUM1 grade class. ",Does the essay tell a true story?,1,val,c9
1,373," ""Laughter is the shortest distance between two people.""  @CAPS1 best friend @PERSON1. Wow! All those great times last @DATE1 and all the ones to come. Some people think were weird but if you knew us you would understand. Sometimes people say, ""I'm going to die laughing."" @CAPS2 i know I am because of @PERSON1, she knows how to always make me laugh. If I had to count how many times we've laughed about or done together i could there isn't enough time or numbers to tell you how many times.  First of all, this friendship started the @DATE1, and now we are in sophomore @DATE1 of high school. We've been friends for one @DATE1 and eleven months and six days. We are the best of best of friends.  So last @DATE1 when we were learning the cheers for football season, all most every-time we got done with a cheer, @PERSON1 @PERSON1 and I would say, ""@CAPS3-in @CAPS4."" That was our saying, and we always did it @DATE1 and after the football or basketball games. We called it our @CAPS3-in @CAPS4 style or for short our slogan. We would be having a blast and laughing for hours.  ""@CAPS5 turn, @CAPS6 turn,"" In @DATE2 we were on our way to state for cheer. On the car ride up to @LOCATION1, every-time we took a corner we would say what corner it was and do a motion with it. Oh @CAPS1 goodness we laughed and we had a blast. After the @CAPS6 and @CAPS5 turns, there was another motion we called the monkey and we would act like monkeys. It was so much fun we laughed. We also laughed so hard that we were crying and we had to go pee so bad, it was almost really bad.That was one of many car rides that was amazing.  On the other hand, @PERSON1 @PERSON1 and I, cheer together, we have sleepovers, @CAPS2 i should say that we do everything together. She is @CAPS1 cheer sister and will always be, also she is @CAPS1 best friend.I would do anything for her. I love @PERSON1 @PERSON1.  In addition, to the we do everything together. When @PERSON1 is over at @CAPS1 house I always have to make sure I make sandwiches and orange juice. Because this one time we stayed up past midnight and we were hungry so i went and made all of that and @PERSON1 loved it so now i have to make sure i have some for her when she comes over. Now we always talk about the becomes of the sandwich habit.b we laugh about it all the time.  Finally, @PERSON1 @PERSON1 and I are going to be together forever, because i don't know what i would do with out @CAPS1 sister. I would not be the person who I am today with out her she and everything to me we laugh even when we want to cry she is everthing to me. You could say we have a perfect freindship of all time. @CAPS1 bestfriend is @CAPS1 sister I love you @PERSON1, thanks for alays having @CAPS1 back.                                             ",Does the essay tell a true story?,1,train,c9
2,637,"Laughter, an important part of life, just the feeling of laughing is comforting because at that time everything is okay.Laughing brings people together and makes them laugh together, its like a way of communication. Once you laugh about something other people start laughing and it connects everybody together to be happy. Its like telling everybody to be happy but without even talking to them.That's when people laugh with you, but when they laugh at you, well that's a different story.I remember one day when I was home washing the dishes and everyone in my family was frustrated, even me.I hate being mad and I hate it when people get mad, so I said something, I don't remember what but then everyone started laughing,it put everyone in a good mood.I think of laughing like fire,one candle can light @NUM1 candles.When you hear people laugh, the first thing that comes to your mind is,""something must be funny"".And you want to go and see what it is so you can laugh too. that's very common for most people who like laughing. personally I love laughing because its a good weird feeling.",Does the essay tell a true story?,1,val,c9
3,545," I have heard people say that a smile makes a big difference in a first meeting, a relationship, or just walking past people on the street. If someone has had a bad @CAPS2, not only should a smile make it better, but also some laughter along to accompany that sincere smile. I enjoy walking down the street on a nice, beautiful @CAPS2 and walking by locals I know that smile, laugh, and give a little wave to show that they are enjoying the @CAPS2 as much as I am. Walking past someone I @MONTH1 not know also has its positives. One look to see their face can tell me if they are having a good @CAPS2 or a bad @CAPS2. Either way, I give a smile. A smile to show that it is a good @CAPS2 or a smile of encouragement to let them know it will get better. I enjoy the feeling I get @CAPS12 I meet someone and I know that we connected great. A good first impression is very important for me because it can determine how the friendship will go and how long it can last. I now know that I enjoy being around someone like me who enjoys to smile and laugh. I can't really seem to see myself around a serious person and I know if I was, we would clash and have problems because I am loud and if they are serious, there would be problems and not be able to collaborate on decisions.  @CAPS12 I first met my friend @CAPS1, I was nervous and scared because we were set up as a blind date by a mutual friend. It was a @ORGANIZATION1's @CAPS2 double date with our friend and my cousin. @CAPS12 the guys first picked us, I got into the car and the first thing that I remember was seeing a big smile on this guy's face. I ended up getting more nervous and began to stutter as we started to talk. As the date went on, he seemed like a down to earth guy and always seemed to have a smile on his face and laughter seemed to flow right out of him. As time went on, we became closer than what I would have ever thought of. I was not sure where our friendship would lead us, but soon after, it became noticeable that he liked me and I liked him. We took it slow, not rushing into things. We had long conversations that would last us hours at a time and we always seemed to laugh about everything. He made everything seem better and better each and every time we talked. Pretty much having the same personality and both always smiling and laughing helped us connect right away.  Just the other night , @CAPS1 and @CAPS4, our mutual friend, came over to visit my cousin @PERSON1 and me at her house. We were all laughing and enjoying each others company @CAPS12 @CAPS4 and @PERSON1 decided to go to the store and buy some things using @CAPS1's car. Since they weren't going to be gone for long, @CAPS1 and I decided to wait inside. Minutes after that, as we sat, talking to each other, @CAPS4 and @PERSON1 run into the house looking flushed, out of breath, scared and nervous about something. @CAPS4 wouldn't look at us, so @PERSON1 told us to go outside, something had happened to the car. As we stood there, I realized that the car was no where in sight in the driveway, so I became suspicious. We asked them where the car was and they pointed to the road and in the dark all we could see was the faint outline of a car in the ditch. I was expecting @CAPS1 to get mad and say something to @CAPS4, who seemed to not know what to say, but instead he smiled, walked towards the car and said, ""@CAPS11't worry, the car is fine."" @CAPS12 he said that, he started laughing, his amazing laugh. I was still in the state of shock and so @CAPS12 I heard that laugh of his, I turned and looked at him, and realizing that he was happy and didn't seem to mind the accident, I began laughing as well and in less than @NUM1 seconds of him beginning to laugh, not only was it us four laughing, but also two of my other cousins that had joined us outside. Laughter made the situation better and I enjoyed the fact that we could all laugh about the smallest, the unexpected and the worst as well as the best. What also made me happy, was the fact that that very same night after the incident, @CAPS1 asked me the question I was hoping to hear and the way he said it made me laugh which then caused him to laugh. I answered his question with a hug and a yes and he brought out a banquet of roses. As we walked inside, my cousins and my aunt started to applaud and we all started to laugh with smiles on our faces.",Does the essay tell a true story?,1,train,c9
4,173,"A @CAPS1 @CAPS2 @CAPS3 A @CAPS4 @CAPS5. I felt simply @CAPS5. I was very stoical; my life was nadir. Helplessly. I had written a @CAPS2 to my hero; no reply. I was determine to wait @CAPS3 see if my hero would ever reply.... My hero is amazing, lighting, astounding; his name is @PERSON6. I understand his music.  My best friend @PERSON4 @CAPS3 I, would always talk about how awesome his music is; in fact @CAPS6 @CAPS4 started because of @ORGANIZATION1. We were two different people; I didn'@CAPS8 even think we could be friends, or have anything in common. @CAPS20' music brought us together.  @CAPS17 @CAPS3 I wrote a @CAPS2 to @LOCATION1; I thought to myself ""@PERSON6 is not even going to look at it,"" but I watched @PERSON4 write the @CAPS2. Weeks @CAPS3 weeks past by @CAPS3 I really thought @ORGANIZATION1 wasn'@CAPS8 going to read or reply. After that @CAPS6 @CAPS4 started to dilapidated. I felt discourage; we only talked about @PERSON6 @CAPS3 @CAPS6 photography project. We were really procrastinating toward @CAPS6 project; I had been a little distracted with cheer-leading @CAPS3 homework form the high school; not college homework. I was ignoring @PERSON4 calls @CAPS3 texts. Until I realize I had made a wrong choice; @CAPS15 I called my friend @PERSON4--thank god I did. A week later @PERSON4 @CAPS3 I @CAPS3 two of my friends: @PERSON5, my best friend since seventh grade; @LOCATION2, my best friend since eighth grade, had went to watch this really vehement movie. After the movie we went to meet up with some friends at the dorms. On @CAPS6 way there, @PERSON2 @CAPS3 I were telling @PERSON5 @CAPS3 @PERSON4 about @CAPS6 amazing experience in health: @CAPS6 health teacher had given us an assignment about what a perfect body should look like. @PERSON2 @CAPS3 I, facetious made an alien-looking body. The toes of this alien were coming out of its shoes @CAPS3 @CAPS6 alien had warts all over. We laughed non-stop, obviously we didn'@CAPS8 turn it in. When we arrived to the dorms, @CAPS3 @PERSON4 presented me to his friend @CAPS8.J; @CAPS18 was a big fan of @ORGANIZATION1. ""@CAPS9."" @CAPS10 we played various games I notice @CAPS8.J, had some warts on his hands, @CAPS3 when @CAPS18 took off his shoes; to put on his saddles, I couldn'@CAPS8 help but notice @CAPS18 somewhat reminded me of @CAPS6 drawing. I hysterically started to laugh non-stop, my friend @CAPS12 kept asking me why I was laughing, I said ""@CAPS8.J looks like my alien,"" @CAPS18 said ""wow that's rude."" I said ""In my eyes that's the perfect body."" We all had a good laugh @CAPS3 kept playing games @CAPS3 listening to @ORGANIZATION1. The next day @PERSON4 @CAPS3 I had to meet, to work on @CAPS6 photography project. All we had to accomplish was to take pictures of each-other @CAPS3 the things that we like @CAPS3 dislike. It was called: getting to really know a person. I learned a lot about @PERSON4 threw this project. In my opinion, I sometimes live life to fast, @CAPS3 I can barely catch my breath. I want to do everything but school @CAPS3 sports sometimes held me back; not in a bad way. I just have less time to hangout with friends or simply rest. But I love my life @CAPS3 wouldn'@CAPS8 trade it; everything that I do gets me closer to my goal: @CAPS14.B.I agent. This project was vehement. To me it was a @CAPS1, a way of life telling me ""hang on, you'll make it;"" all due to a simple call. We were working hard, when @PERSON4 phone kept ringing. I was a little cantankerous. I said "" @PERSON4 answer the phone!"" @CAPS15 @CAPS18 did. @CAPS18 said "" oh my god, @CAPS16 is @PERSON6, I said ""stop messing around, now lets get back to work!"" @CAPS17 put his phone on speaker, @CAPS3 there it was; my hero on the phone! I was @CAPS15 happy that I started to cry, how could this be happening to us! I blacked-out, it was like I was stoical. How could this ever happen to ""quotidian teens."" I could hear @PERSON4 talking to @ORGANIZATION1 but I was making my my mind convoluted. I took a gasp of air, @CAPS3 said ""hello."" (I was still in shock.) @CAPS18 said "" hello @PERSON3, good luck in track."" @CAPS3 that's when I past-out. When I woke up @PERSON4 @CAPS3 I couldn'@CAPS8 believe it. We cried, then to ease the tension, @PERSON4 said ""@CAPS16, you talked to your husband."" We laughed for a long time. @CAPS17 @CAPS3 I have the best memory together. @CAPS6 @CAPS4 started because of @CAPS20 music, @CAPS3 it will never end. That day I realized: one: miracles happen; two: laugh heals the heart; @CAPS3 three: always have faith, never give up, someone will always hear you @CAPS3 give you advice when everything feels like is coming down on you @CAPS3 if it is as @PERSON1 said ""jump of a cliff, @CAPS3 built your wings on the way down,"" or someone will help you built them!  As @PERSON6 said ""come take my hand, we'll walk this road together.""   ",Does the essay tell a true story?,1,train,c9
5,133," People can share many things. DNA, clothes, feelings, beliefs, religion, and laughter. For my sister @PERSON3 and I, laughter is what made our relationship stronger than it ever would. When I was younger it was the typical older sister @LOCATION1 younger sister vibe, frankly we did not like each other at all. Through maturing, entering high school, and being part of the same cheer leading organization we have spent almost too much time together and now it's almost as if we are the best of friends. In the @DATE3 we were together constantly. We would watchJerry @PERSON1, laugh and/or make fun of the people who volunteered to be on the show. We would watch clips of the showSaturday @TIME1 @CAPS1, that's where I introduced her to the character ""@CAPS2"". @PERSON3 and I would talk to each other in the voice that we adapted from ""@CAPS2"" and laugh constantly about @NUM1 @TIME1 @CAPS1 is also where we adapted the ""demonic voice"". We would talk to each other, and our friends in these voices. Both of us still talk like that @DATE1. As we entered high school we had to start driving together everyday to and from school. We would listen to music, make up random dance moves and sometimes I would have to steer if her favorite song came on(she was a very energetic dancer). It was all in good fun though. When we would enter into the school everything would change though and I understood that after about a week. I was the annoying younger sister who couldn't say hi to her in the hall or wave at her when she was around her friends. She wanted to be left alone so she wouldn't look weird. She was a junior then, they always think their the coolest around. Once she was a senior she would say hi to me, she would smile when she saw me, I even talked to her and her friends sometime. We also grew closer once I entered the student leadership class that she was also apart of, we had the same class every other day it was hard not to talk to each other.  The single thing that I believe has made our relationship closer because of laughter was the three weeks she stayed in my room. She decided to ""move in"" when she would wake up in the morning with bug bites on her arms and legs and she would have no idea what they were from. We suspected that she just didn't remember getting them when she was out the @TIME1 before, but then when she wouldn't go out she still got them. We figured out what it was when her friend @PERSON2 came over; she had bed bugs. That @TIME1 I separated the two mattresses I sleep on and made her a bed thinking she would only be there for two three nights tops so my parents had time to disinfect her room. That turned into two three weeks. We spend almost every hour of every day together those three weeks, the only peace I got was in the shower. We would stay up late talking about our day, who we didn't like, who's outfit we really liked that day, what we wanted to do in cheer practice and who could have done better at cheering. If you knew @PERSON3 you would know how scared she gets over a movie so half the time when we were up late I was next to her trying to scare her. It's quite funny to see her reaction. Finally she ""moved out"" and I got my room back though I don't think, even now it feels the same as it did. They say many things about laughter; ""Laughter is the best medicine"" ""Laughter is the shortest distance between people"" ""@CAPS5 two people in a room, they'll be laughing in @NUM2 minutes""; All of these talking about how relationships grow with laughter. I have the funniest, silliest, greatest sister in the world because we can laugh at the same things. We have the same mind people say, we do a lot of the same things, we think a lot alike, and we wear a lot of the same things as well. I am positive laughter has strengthened my sister and I's relationship. I bet if you really look at the relationship between you and someone you're close to, the first memory you think of is a happy moment of you laughing.",Does the essay tell a true story?,1,train,c9
6,6," One rainy, @DATE1 day in a far away place their was a soccer game.that i was in. I remember that day like it was yesterday.It was the last game of the season,so it was important to me but some things went wrong in the process. I was going to the same like I said. I was just wearing my uniform my aunt said bye as I did. but out of the deep blue shy a big black rain cloud comes out. Oh @CAPS1. so I'm in on the beach thinking to my self the game going to get called off. On it my turn to go in. now in font ready for the for the ball,@CAPS2 I fall on my face. then i fall again coach take me out. so he did, i go back on the beach hopeful the team can do it with out me. game over we lose by two points, its time to leave now but where is my aunt? i called her on my coach's phone , @CAPS1 answer. I think to my self ok shes a little late, but as i look at the time ten go the @NUM1 then a hour. finally shes here. cold, wet and mad from the game. all my aunt said is @PERSON1 don't get mud on the seat. well that's a little hard to do that when it's all over me. my aunt says @PERSON1 you are not going the party looking like that, i said but i have to there is not time to waste. after a little argument my aunt says ok, so i get there and see all that food and all my team mates muddy as me. it's seems like a could move to show the heavens, what a day.",Does the essay tell a true story?,0,train,c9
7,46," Folded In @DATE1 it was right around @DATE2, two of my friends and I were out riding quads laughing and having a great old time. They were teaching me how to do a wheelie on a quad. Soon after they started teaching me i figured out that what I had to do was hit all of my weight on the back end of the quad and f lore the gas so I could pop the front end up and I was just doing it fairly well from there on out. Well, when we were about ready to to go back up to the house one of my friends thought it would be super cool if we got a picture of one of us up on the front of the quad while the person driving pops a wheelie. To do this one of us sat on the front of the quad, one of us sat on the back of the quad and, one of us was driving. first thing we do when were all situated in the quad is that the driver pulls back a f lore's the quad (the driver doesn't need to slam down on the back of the quad because there is the extra weight from the person on the back)Which in turn pops the front end up. Then the person on the back jumps off and snaps a picture on their phone and then the person driving is supposed to brake and set the quad down. Lucky me I was the one that decided to sit on the front of the quad while my friend does a wheelie. While he was popping the wheelie either he pulled back to far and hard or he flored it for too long. So I was sitting on the front and it stayed up in the air for about five seconds and then the scary thing happened. The quad started leaning back so my friend jumped off and tried to hold it so I had some time to jump off but, I panicked and froze to the bar i was holding on to. Then the whole quad came down on me because my friend couldn't hold me up any longer. It slammed me into the ground, all @NUM1 lbs. of it, it caused my shins to hit me in the face( I have a hard time bending my head to my knees let alone my shins)and it super hyper-extended my back so much that I was lucky I didn't break it. When it hit me into the ground it felt like my legs sprung the quad off of myself but, it was really just my friend pushing it off. After the pushed the quad off of me I was laying there for like @NUM2 minutes laughing in pain for some reason that I can't remember.  After I was done screaming, yelling, and laughing in pain I got up and they drove me back up to the house. When we got back up there they handed me an ice pack and told me to go sit on the couch, I couldn't bend my back so I could sit down so I had to turn my back to the couch and basically fall onto the couch. While I was sitting there my back started to hurt excruciatingly bad so i thought if I lay flat on the floor it wouldn't hurt as bad and just like I thought it did. So I slept on the floor until morning because that was the only way I could get comfortable. The next day I woke up in really bad pain, it took me like two minutes to get off the floor it hurt so bad. shortly after I woke up I called my parents and had them come and pick me up from the house, I just barely got into the truck and my dad and I drove back to my house and i told my parents the whole story and my mom freaked out and thought I hurt myself extremely bad so she took me to the doctors office and he looked me over and told me I would just have to wait for my back to heal it's self and then i went home.    ",Does the essay tell a true story?,1,train,c9
8,655," It all started with a book @DATE1 @DATE1 ago. My mom had noticed I was struggling to find friends, so she took it upon herself to help me make some. She had a few friends from school who had kids of their own, some my age. I had been around these girls a few times as a child, but not recently. I'm not sure today what my mom saw in @LOCATION1 that made her think we would click, but she was right. What seemed like such a small action would change my life drastically. In @DATE2, in my new house I first met @PERSON1. That evening before she arrived I couldn't help but be very upset at my mom for doing this. I felt I was fine and fully capable of making friends myself. She acted like she knew me, but the few acquaintances I had she didn't believe would be good for me. I didn't think she could be right this time and I didn't want to waste my time. An abrupt knock on the door interrupted my train of thought, I could her muffled voices and footsteps downstairs. Quickly I retreated to my room and onto my bed. The bulky front door opened and closed again followed by footsteps coming up to my room. When @PERSON1 first walked into my room my first thought there was no way we would get along. She was a gorgeous blond girl, obviously popular and very confident. I couldn't stop thinking how she was going to call me freak and poke at my differences like the other girls at school did. ""@CAPS1, what are you reading?"" @PERSON1 asked as she sat on my bed. Come look for yourself."" I replied offering her the book in my hands. I knew she would hate this book. It was about all the microorganisms that live and feed off your body. I was right and as she leaned over cautiously @PERSON1 read the book with a disgusted look on her face. Laughter was boiling up inside me, I couldn't hold it much longer. My small, dull room buzzed with my laughter. @PERSON1 looked over at me with another strange look on her face and began to laugh along with me. Once the laughter had stopped and the ice was broken we began to talk about other interests. @DATE1 short hours flew by and we were finding plenty of things we had in common. We shared funny stories, introduced new music to one another, and talked about hobbies. I couldn't remember the last time I felt so in-tune with someone, especially someone I had just met! Suddenly our conversation was interrupted by a brisk knock on the door downstairs, we looked at each other and smiled. In that smile I saw a real person smiling at me with real pleasure showing through. Very much unlike previous encounters with kids at school. Downstairs we said our good-bye's to one another. As the new, cool @DATE3 air began to rush through the opened door I reached out to hug her. To my surprise she took my gesture and ran back to hug me. Her hair smelled of hair products and powder, a smell very unfamiliar but surprisingly comforting. Once she was gone for the night I began to think. I really liked @PERSON1 and I wanted to see her again soon. I felt accomplished in some way and fulfilled to have this bright future opportunity brought to me so easily and perfectly. Guilt also struck me as I realized how I had felt about @PERSON1 at first. For someone who had been judged through most of school I had been very hypocritical. That night I stayed up later than usual thinking about the next time I could see her, how she had looked and tried to understand how we could get along so well. Despite these questions haunting the edge of my every thought I slept happily, thinking of the next time I would get to see her. All of those @DATE1 questions and concerns have been answered in the @DATE1, and we are the closest friends. Not long after we started hanging out more often, we began to like one another a lot. One of my favorite parts about our relationship is how people get so confused to see us two different so close to one another. We can take the stares, comments and anything else we struggle with today and find a way to laugh together to reduce the importance of it. I have thanked my mom over these @DATE1 for many things, but mostly for what she has done for my relationship. If it hadn't of been for her my life would probably of been much darker. No one on that cold night expected this one meeting to evolve into our beautiful relationship. Laughter is an extremely vital part of a relationship whether it is being built or being kept up. Thanks to laughter excelling conversation @DATE1 @DATE1 ago, I have had the best experience I could of ever asked for.",Does the essay tell a true story?,1,train,c9
9,660," Have you ever been in an an awkward situation and lightened the mood with laughter? I have, as have many. I find that laughter makes people more comfortable, which allows them to be their own person. Laughter @MONTH1 even help some to attract a positive, friendly crowd, who enjoy funny, happy people. Laughter @MONTH1 not work in this way for everyone, but here are some ways it has helped me. I was at a homeschoolers' group in @LOCATION1 years ago and didn't know anyone there. After walking around a while this girl talked to me. She was funny, and being able to laugh made me more comfortable and I had a fun time. I just had to fin d the right person. Another time where laughter might've helped was when I was invited to a birthday party of a friend I hadn't seen in over two years. Several others were there I hadn't seen in a long while. The whole visit was awkward and all I wanted to do was blend in. I acted like everyone else, but if I'd had laughed and been more comfortable I would've been my own person. When I first came to public school I was nervous to meet new people, and what kind of people there would be. After a week or so people got to see my personality, the funny, happy, laughable person inside, and that clicked with a lot of people. That's why I'm friends with the people I'm friends with now, because our alike personalities matched. Laughter brought me to a good place in life. Laughter can make a lot of people happy and comfortable in awkward situations. It can encourage people to show their own personality and attract people like themselves. I think the world would be a happier place if everyone could laugh.",Does the essay tell a true story?,1,train,c9
