,index,EssayText,bsq,label,set,b
0,682,Invasive in this article means that people may be invaded the reptiles space and something happened.,Does the answer provide specific examples from the article?,0,train,c10
1,144,"The word ""invasive"" is significant throughout the article because the whole article is about how the python is rapidly invading the tropical climates of the U.S. One reason is because of Horncane Andrelilyns stated in paragraph 12,that really picked off the invasive capect of the large python.",Does the answer provide specific examples from the article?,1,train,c10
2,440,"From facts and how they use the word in the article, I think the word ""invasive species"" is like another word for dangerous or like its trying to take over the environment. I say this because its kind of like the word ""Invade"".",Does the answer provide specific examples from the article?,0,val,c10
3,594,The article uses the word invasive stating that pet reptiles could be a threat to the environment. In the article it states Macinnes feel that calling a reptile invasive species is unfair and passing judgement.,Does the answer provide specific examples from the article?,0,train,c10
4,1258,"The reader can infer that invasive means a growing population of species, since this article revolves around the fact that their numbers have increased. ""Invasive species are major threats to bio diversity."" That is very serious.",Does the answer provide specific examples from the article?,0,train,c10
5,1160,"The significance of the word ""invasive""is that they aren't welcomed or normal animals you'll see in a house. I still dont believe that's the right word to use them.",Does the answer provide specific examples from the article?,0,train,c10
6,550,The word invasive is important because it is used to describe how foreign animals are beginning to become native animals. The are invading our country and killing some of the natural creatures that live here.,Does the answer provide specific examples from the article?,0,train,c10
7,1650,"The word ""invasive"" is very significant in this article. The pythons in Florida are being invasive because they are populating areas where they haven't been before, and are thriving by eating native species.",Does the answer provide specific examples from the article?,0,train,c10
8,868,"The word ""invasive"" can be used to describe a species that is not native to a land, therefore invading it. The author explains how invasive species ""are major threat to biodiversity"". Nonative animals invade a land and sort of offset the balance of nuture in that area. This is significant to the entire article because the author is making the reader aware that invasive species are harmful.",Does the answer provide specific examples from the article?,0,train,c10
9,37,"The significance of the word ""invasive"" is to show how all these different reptiles are growing in population. ""The Burmese python, which is breeding up a storm in the Everglades."" They are in a sense, invaiding the country from spawmog all over.",Does the answer provide specific examples from the article?,1,train,c10
10,589,"Well the significase word invasive means to migrat of move, well in the book it's to migrat to a difrent place.",Does the answer provide specific examples from the article?,0,train,c10
11,783,"The word invasive is significant to this article because it defines the type of species. it helps the reader recognize what the animal is like. For example in the article it says, ""..invasive species, such as the burmese python.."" This shows how thw word ""invasive"" describes a type of lethal species.",Does the answer provide specific examples from the article?,1,train,c10
12,89,"The term invasive means very dangerous. In this article, pythons, lizards and snakes may seem as rare pet in one person, but also invasive or dangerous in another person.",Does the answer provide specific examples from the article?,0,train,c10
13,1654,Invasive means that the species are invading and that they do not belong here. They are invading the earth. They are on invasion to everything.,Does the answer provide specific examples from the article?,0,train,c10
14,1417,"Invasive in the article can be seen as a danger to other species ""The snakes of imperaring five endangered species.""",Does the answer provide specific examples from the article?,0,val,c10
15,188,The experiment is not planned and there's no one in control which is invasive .,Does the answer provide specific examples from the article?,0,train,c10
16,170,The word invasive is important to the article because it helps show how reptiles that are not typically found in the us are being brought here and are causing endangerment to US native species like the wood rat. Pythons would not be normally found in the Everglades and are invading the US and killing off our animals typically found here.,Does the answer provide specific examples from the article?,1,train,c10
17,1488,Invasive plays a big part in the articles. I shows that the animals that are dangerous can cause an intrusion.,Does the answer provide specific examples from the article?,0,train,c10
18,806,The significance of the word invasive in this article is that when you hear invasive you think of something bad invading a space where it not wanted but others try to say they are not in away that they are introduced to the area.,Does the answer provide specific examples from the article?,0,train,c10
19,679,"Invasive, meaning a foreign species that has made a home somewhere it isn't native to. For an example, in the article they speaks of how the Nile nonnter lead. can now be found around cape soral. The animal has the word ""Nile"" in its name.. its obviously not a native species to Florida.",Does the answer provide specific examples from the article?,1,train,c10
20,7,"The word ""Invasive"" signifies the fact that some people they find creatures in the world to be pets while others find them to be dangerous species. In the story it explains that reptiles such as pythons, lizards and anacondas are being thought. Some people find these animals to be dangerous.",Does the answer provide specific examples from the article?,0,train,c10
21,215,"Invasive specie refers to a specie that has adapted and lives in certain parts of the world or country according to climate. The map even shows that Americas Southern States are home to snakes because of their climate. ""A uses map showed potential python habitat stretching from California to Delaware and including much of the south."" para 15.",Does the answer provide specific examples from the article?,1,train,c10
22,58,"Invasive are species of animal like crocodiles, scorpion, snakes etc. They are animals that can harm you or any one.",Does the answer provide specific examples from the article?,0,train,c10
23,228,"Invasive in this article means unsafe. In the article it reads "" A python swallowed an alligator and these not a delicate way to put it exploded."" If the python ate an alligator, what is to say it wouldn't eat a small child.",Does the answer provide specific examples from the article?,1,train,c10
24,847,"The word ""invasive"" has a negative feel to the animals. Some say that the term ""invasive species"" is unfair and passes judgement. One could love the creatures but the others might not be too crazy for them and they'd call the animals ""invasive"".",Does the answer provide specific examples from the article?,0,train,c10
25,1651,"The significance of this word is how it describes the new species and whether or not it is too quickly passing judgement. MacInnes says, ""Even the term invasive is unfair..."" (Achenbech). MacInnes is pointing out that no real harm has been done yet. However, park rangers in the everglodes call his argument, ""articulos..the snakes..imperialing 5,,speaks"" (5).",Does the answer provide specific examples from the article?,0,val,c10
26,716,"The significance of the word ""invasive"" to the rest of the article is that species are taking over habitats that are not there own and changing the food chain. ""Biologists, however say that invasive species, unchecked by natural predator, and major threat to biodiversity"" (4) The significance of the word ""invasive"" is to show the reader how that nonnative animals could make natives animals become extinct.",Does the answer provide specific examples from the article?,0,train,c10
27,601,"The article uses ""invasive"" to emphasize how the lives of certain creatures can effect a human's standard of living in safety as well as other animals. Pythons are ""invasive"" because they eat most animals it's size , and because they pose a threat to humans by appearing in cars, homes, backyards, etc.",Does the answer provide specific examples from the article?,1,train,c10
28,504,"Invasive could mean a variety of things in this article expecially ""endangered"". Invasive is a significant word because of the way it sounds. So it gives the story and makes the endangered animals sound bad. At the same time it changes the mood because it makes the animals sourd as if they were just discovered.",Does the answer provide specific examples from the article?,0,train,c10
29,169,The significance of the word invasive is when pythons are invating the south of the U.S and are becoming a problem. They have invaded about a third of the contenantas United States.,Does the answer provide specific examples from the article?,0,train,c10
30,263,"""Invasive"" it means that it will disrupt the ecosystem when it is introduced. In the article, reptiles are labeled as invasive though they actually did not invade of their own record. They were merely introduced and had to fight and eat to survive.",Does the answer provide specific examples from the article?,0,train,c10
31,1053,Invasive is almost like a question to this article. In paragraph 7 they are arguing if pythons are invasive or just introduced. Taking what I know from this paragraph I'd say invasive is something not natural or accustomed to a certain area.,Does the answer provide specific examples from the article?,0,train,c10
32,846,The word invasive was used as a bad term in this article. Reptiles were being classified using the word invasive and people like Robocy Mccinnes think its being licy  are more introduced.,Does the answer provide specific examples from the article?,0,train,c10
33,1486,"MacInnes believes that the term ""invasive species"" is unfair to use because he thinks that's a passing gudgement to some people. The introduction of pythons is a ""wonderful"" thing, while others believes they are major threats to biodiversity.",Does the answer provide specific examples from the article?,0,train,c10
34,56,The word invasive is used in this article to show that animals like the Burmese python and the Nile monitor lizard are threats . Although some people may consider them as pets they are extremely dangerous.,Does the answer provide specific examples from the article?,0,val,c10
35,777,The significance of the word Invasive to the rest of the article is how. In paragraph shows us USGS mak potential python habitat stretching from California to Delaware and including in the South.,Does the answer provide specific examples from the article?,0,train,c10
36,464,"The significance of the word ""invasive"" to the rest of the article is that the ""invasive"" species are killing the native wildlife. The article states that pythons are invasive species and are killing five endangered species in the Florida keys, including the key largo wood rat.",Does the answer provide specific examples from the article?,1,train,c10
37,1126,"The word invasive, in this sense, means invading the homeland of another and taking over. For example, the burmose python is on invasive species in the Everglades natural park and is driving either animals like the key large wood not to extination. Most generalist species are invasive because they look for different places to live. ""Invasive"" means a lot to this article.",Does the answer provide specific examples from the article?,1,train,c10
38,692,Invasive apears many times threw this article. It's significance because is a key word.  ''Biologists say that invasive species unchecked by natural predators are major threats to biodiversity.'' In order to understand the key plant in this article you would need to know from context clues.,Does the answer provide specific examples from the article?,0,train,c10
39,1552,"The significance of invasive is that the government doesn't want to ""introduce"" new animals into the country. They don't want this because those animals will gain predators and not be invasive any more.",Does the answer provide specific examples from the article?,0,train,c10
40,848,The significant of the word invasive is that it means to have one species come in and multiply and over ran natural species.,Does the answer provide specific examples from the article?,0,train,c10
41,1148,The significance of the word invasive is that inf animals that are removed from their habitat are now placed in another habitat and is basicly invading the animals that reside that habitat.,Does the answer provide specific examples from the article?,0,train,c10
42,1647,"Invasive creatures are potentially deadly. They get introduced to a place and start to take over. They don't just grew greedy, they also end up destroying many other species.",Does the answer provide specific examples from the article?,0,train,c10
