,Id,EssaySet,Score1,Score2,EssayText,split,llm
1,5884,3,1,1,"China's panda eats nothing but bamboo and Australia's koala bear eats eucalyptus leaves. Both of these animals are herbaviores, meaning eat nothing but plants however a python is consdered a carnivore - meat eater. Theres the diffrence pythons hunt for meat and the koala and panda eat herbs.",train,Score: 1.
2,6325,3,0,0,"A python is a generalist. The China's panda and the Australia's koala are a specialist. They all eat different things and come from different places. But, in my eye's what the have the same is that their harmful and rarely kept has home pets.",train,The answer provides some relevant
3,6386,3,0,0,"Panda bears are similar to a koala bear by they are both bears, and they both eat plants. They are diffrent from a python by a python is a generalist and they are specialist. I know this because in the story it says ""a generalist is a raccoon, python, a cockroach, and a white tailed deer.",train,The answer provides some correct
5,5482,3,1,1,"Pandas in China are similar to koalas in Australia because they  both eat leaves and plants. They are not carnivors like pythons. According to the article it states "" A specialist is China's panda which eats almost nothing but bamboo, or Australia's koala bear which eats eucalyptus leaves most exclusively. The quote already states pandas and koalas do not like meat.",train,Score: 1.
6,5046,3,1,1,Pandas in China are similar to koalas in Australia because China's panda eats nothing but bamboo and Australia koala bear eats eucalyptus leaves. And there both different from pythons because in the article is stated that python swallowed and alligator.,train,The answer provides a reasonable
8,5019,3,0,0,"The article said china's panda eats nothing but bamboo and Australia's Koalas bear eat eucalyptus leaves mainly one of their similar thing is rat leaves and whether cold or warm. Also, panda and Koala should in kind of bear. Their food tree are different but living nature is similar.",train,Score: 1
9,5941,3,1,1,"Pandas from china and Koalas from Australia are similar because they are both specialists. This means that they eat a certain type of food and like in a specific location. This is different from pythons, which are generalists. The article says that the term ""generalist"" means species that are able to live in a vast variety of locations.",train,Score: 2
10,5712,3,0,0,The pandas in China are similar to the koalas in Australia because the both eat plants and also they are peaceful animals. They are different from pythons because pythons cant live up north but pandas and koalas can. Also they are different because pandas and koalas eat plants and pythons eat animals.,train,Score: 1.
11,5531,3,0,1,Pandas in China are similar to koalas in Australia because they only eat one thing. Pandas eat bamboo and koalas eat eucalyptus. They are both different from pythons because pythons habitat stretching from California to Delaware and including much of the south. Pythons can conceivably snacking their way up to Potomac.,train,The answer provides some correct
12,6749,3,0,0,Panda's in China are similar to koalas in Australia because the each really live out of eating one thing. Pandas live off of eating nothing but bamboo. Koala's eats eucalyptus leaves almost exclusively. Pandas and koalas are different climates the live in. Pandas are from China and koalas are from Australia.,train,Score: 1.
13,5608,3,0,1,Pandas in China and koalas in Australia are similar because they both adapt to their enviornment. Pandas eat bamboo and koalas eats eucalyptus leaves which in their locations is very popular. Koalas and pandas are differant from pythons because they are mamals and have differant care.,train,Score: 1.
14,6175,3,1,1,"The pandas in China and the koala in Australia are similar because they require one environment and depend one one food source, making them specialized. The python is highly adaptable and can live anywhere with a reasonably favorable climate. The adaptability of the python makes it different from koalas and pandas.",train,Score: 1.
16,4960,3,1,1,"Pandas in China and koalas in Australia are similar because they only eat one thing. Pandas eat bamboo and koalas eat eucalyptus leaves. Pythons on the other are completely different because they have a large variety of what they eat. In 2005, a python swallowed an alligator, and later the python itself blew up.",train,The answer provides a clear
17,6576,3,0,0,Panda's and koalas are both herbivoures and eat plants to survive. And pythons can kill many different species causing problem unlike a panda or koala.,train,Score: 1
18,5728,3,1,1,Pandas in china are similar to koalas in Australia because both are specialist panda eat almost nothing but bamboo and koalas eat eucalyptus leaves almost exclusively. Both pandas and koalas are different from pythons because they are generalist and can live anywhere.,train,The answer contains some inaccur
20,5875,3,0,0,"Panadas in China are similar to koalas in Australia because they mainly only eat one type of food. They differ from pythons because a python is a generalist, who can live anywhere. In the article it states ""... who with the assistance of technology can live anywhere from Florida to Antartic to outerspace.."" This shows that pythons can really go anywhere and panadas and koalas are limited.",train,Score: 1.
21,5580,3,0,0,Pandas in China are similar to koalas in Australia because they both live in the jungle and different because the koala always is in the tree and the panda is looking for food.,train,Score: 1
22,5266,3,2,1,"Pandas in China are similar to koalas in Australia because they both eat one type of food all the time. In the text it says ""A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"". They are both different from pythons because a phython will eat any thing it could eat. In the text it says ""A python swallowed an alligator and-there's not a delicate way to put it-exploded"".",train,Score: 2
23,5648,3,1,1,"Pandas in China and koalas in Australia are similar because they both need warmth and they both eat plants. These two animals are much more different than snakes because snakes eat mice, rats, and the python will eat a key largo wood rat cracked down in the belly.",train,Score: 1
24,5603,3,1,2,"Both pandas and koalas are specialists, and can only live in their habitats and to the fact they can't survive anywhere else. Pythons however, don't require to eating grown food and of effectively almost anywhere.",train,The answer provides a partial
26,6197,3,1,1,Pandas in China are similar to koalas in Australia because the both have one food that they eat continuously. Both of those one different from pythons because pythons could eat anything that gets in its path if it was hungry enough.,train,Score: 1
