,index,EssayText,bsq,label,set,b
0,1650,"Tells us what sppace junk is, tells us how dangous it can be if there is junk just floting around and what could happen if there is mircodebris floating around.",Does the answer demonstrate understanding of the author's intent?,0,train,c3
1,382,"The author organizes the article by breaking it down into sections and talking about different things in those sections, like What is Space Junk? and Crash Course.",Does the answer demonstrate understanding of the author's intent?,0,train,c3
2,670,"The author jumps right into the topic by explaining the great space war between the Soviet Union and the United States. This was a time period when multiple space explorations took place and shows examples of space junk. The author also describes the many variations of technology we send into space. As quoted in the paragraph, ' space capsules, telescopes, and satellites.' These are variations of future space junk and the author breaks it down into how space junk is made, where it comes from, and the dangerous repercussions it may cause.",Does the answer demonstrate understanding of the author's intent?,1,train,c3
3,175,The author organized the article to avoid giving to much information about one subject. He wants the article to give simpler information.,Does the answer demonstrate understanding of the author's intent?,0,train,c3
4,80,"The author starts this article in a playful mood and then gets serious.  They start of with comments and then start withthe facts.  In the beginning the author says, 'Grab you telescope! Look up in the sky! It's a meteor!'  Then they go on to list facts like, ' In 1957, the Soviet Union launched the first artificial stellite.'",Does the answer demonstrate understanding of the author's intent?,1,train,c3
5,858,"The author organizes this article by presenting different topics about how space junk is created, and how it can be harmful.  Each section presents a different problem contributing to the build up of space junk.  The author starts out by grabbing the reader with some shocking statements, and then explains the topic of the article.  The author then continues on to explain what space junk is, and how it is building up in outerspace.  After, the author shows how satellites collide, causing them to break into smaller pieces, which leads into the last section about how harmful the tiny pieces can really be.",Does the answer demonstrate understanding of the author's intent?,1,val,c3
6,1326,Talks about how space satellites are leaving space trash.,Does the answer demonstrate understanding of the author's intent?,0,train,c3
7,272,This organized in a way that tells us about orbiting jank then it tell us what it could be. It tells us next why things may turn into junk and orbit becusae some of the spacecraft may crash and thats the end of that.,Does the answer demonstrate understanding of the author's intent?,0,train,c3
8,144,The author organizes this article in a way that someone who know nothin about the topic of 'space junk' will be able to follow the text all the way through. It is in other words arranged in order of increasing detail.,Does the answer demonstrate understanding of the author's intent?,1,val,c3
9,1321,The author describes how space junk is prodused and what causes it to become small bits of space junk. The artical starts with satellites and works his way down to what microdebris is made of.,Does the answer demonstrate understanding of the author's intent?,0,train,c3
10,456,The first part of the artice he uses the word space junk. Then in paragrphs 4 and 5 he explains what it is and how they circle the earth in there own orbit. In paragraphs 6 and 7he talks about what happens if two of the satelites collide together then it forms tiny peice of material that cant be seen from earth. Also in the last paragraph he tells how the tiny peices of debris still plays a big part in space.,Does the answer demonstrate understanding of the author's intent?,1,train,c3
11,1625,"It gives me brief information about the article.  Startng the article off with some hurmor 'Grab your telescope!  Look up in the sky!  It's a comet!  It's a meteor!  It's a tool bag?'     Then goes into the begining about how the 'Soviet Union launched the first artificial satellite.  The United States followed suit, and thus began the human race's great space invasion.'  It goes on about what happens when tools float off into space by itself, and how it could be really dangerous.       The conclusion, just states that hopefully in the future, scientist can come up with a solution about how to solve the space pollution problem.",Does the answer demonstrate understanding of the author's intent?,0,train,c3
12,941,First he grabs your attention with some interesting details. Example being the tool bag in space. Then he explains what it is that the articles about. Also gives a little background on it and why its there. Then explains the danger is has to the future.,Does the answer demonstrate understanding of the author's intent?,1,train,c3
13,179,"The author organizes the article with a beginning, a middle, and an end.",Does the answer demonstrate understanding of the author's intent?,0,train,c3
