,index,EssayText,bsq,label,set,b
0,1253,reconizing the celllets out emzymes to attack,Does the answer mention the cell membrane?,0,val,c4
1,1003,use there tails to whip around and transfer information.they stretch out and find something closest to them.connect together and form one cell.,Does the answer mention the cell membrane?,0,train,c4
2,513,cells transport energy across the membrane.,Does the answer mention the cell membrane?,1,train,c4
3,258,cytoplasm-jello like solution that is there for them cell to swim through.flagella-has a tail that helps move them throughout the membrane.cilia-moves cell.,Does the answer mention the cell membrane?,0,train,c4
4,80,The first process used by cells to control the movement of substances acrossed the cell membrane are Ion Channels. They let only ions pass through the lipid bilayer and move along the cell. The second process that is used are carrier proteins they help carry the proteins acrossed the cell. The third way used is enzymes. They help move the substances across the cell so they can pass through the cell membrane.,Does the answer mention the cell membrane?,1,train,c4
5,693,One of the three proccesses is when the cells travel through the blood flow.,Does the answer mention the cell membrane?,0,train,c4
6,344,"They use the flagellum to move, therefore it could help move things across the membrane. Also the muscles, like with blood flow, and finally the heart because it pumps blood and oxygen all over the body.",Does the answer mention the cell membrane?,0,train,c4
7,1372,1. A permeable membrane chooses what objects enter and leave the cell.2. Active transport helps larger objects pass through this permeable membrane.3. Passive transport also helps other objects move from inside the cell or out.,Does the answer mention the cell membrane?,1,train,c4
8,144,The cell gets rid of waste.The cell lets some substences inside.The cell makes some substances.,Does the answer mention the cell membrane?,0,val,c4
9,450,Proteins are carried by ribosomes to the golgi apparatus.Lipids are stored in the cell membrane to later be sent all over the cell.Stuff that needs to be obstructed from the cell is decomposed by the Lysosomes that travel throughout the cell.,Does the answer mention the cell membrane?,1,train,c4
10,611,"mitosis, they seperate to make it easier to pass things through the cell. They are selectively permeable which alows them to chose what gets in and out of the cell.",Does the answer mention the cell membrane?,1,train,c4
11,1520,Replication-,Does the answer mention the cell membrane?,0,train,c4
12,1389,The mitocodriaGogi apperatus Nucleus,Does the answer mention the cell membrane?,0,train,c4
13,176,"Three processes used by cells to control the movement of substances across the cell membrane are diffusion, osmosis, and active transport. Diffusion is the process of substances moving across a membrane from a high concentration to a low concentration, or with the concentration gradient. Osmosis is the same process as diffusion but uses water instead of particles. Active transportation is the process of substance moving through a membrane against the concentration gradient, or from low to high concentration.",Does the answer mention the cell membrane?,1,train,c4
14,1161,One type of movement control is passive transportation.,Does the answer mention the cell membrane?,0,train,c4
15,413,"Cell to cell contact,",Does the answer mention the cell membrane?,0,train,c4
16,873,"acctive transport, diffusion, non-active transport.",Does the answer mention the cell membrane?,0,train,c4
17,1406,Three processes the cell does is hypertension and hypotension.,Does the answer mention the cell membrane?,0,train,c4
18,1541,1. Golgi apperatus2. Lysosomes3. Endure Rectal,Does the answer mention the cell membrane?,0,train,c4
19,1174,tRNAmRNArRna,Does the answer mention the cell membrane?,0,train,c4
20,112,"The cellia it has little tails that make a cell move, the water vain that go to the membran of the cell, and the memebran that controls the every thing to make the cell move.",Does the answer mention the cell membrane?,1,train,c4
21,1562,"1. Flagella: long whip like and helps the cell move, the cell only has one                         2. Silla: little hair like and helps the cell move, many are on the cells.     3. I do not know",Does the answer mention the cell membrane?,0,train,c4
22,1272,"Three processes used by cells to move substances across the membrane are Osmosis, Diffusion, and Active Transport. Active transport uses energy to move substances from a low concentration to a high concentration. Diffusion carries substances from a high concentration to a low concentration. Also Osmosis takes water only and moves it from a high concentration to a low concentration.",Does the answer mention the cell membrane?,1,train,c4
23,1091,"cellular respiration, ion channle, lipid bilayer",Does the answer mention the cell membrane?,0,train,c4
24,1426,The ribsomes carry it throughout the cell.The mitocandria carries it to the nucleus.The clear liquid stuff carries it through the cell as well.,Does the answer mention the cell membrane?,0,train,c4
25,730,Cells have protein channels that direct the movement of substances in and out of the cell. Osmosis is the process in which outside substances can penetrate through cell membrane. Diffusion is the process of substances moving on a gradient from high to low.,Does the answer mention the cell membrane?,1,val,c4
26,956,1.) When an emzyne csuch as insulin attaches to a cell it tells the cell to let in sugar.2.) equalibrum is when one side has more of a protien then the other so they transfer the protiens over untill they are equal.3.)When a protien fits into a channel protien to make it change shape for a bigger protien to come through.,Does the answer mention the cell membrane?,0,train,c4
27,1781,muscle brain and heart,Does the answer mention the cell membrane?,0,train,c4
28,644,"Three processes used by cells to control the movement of substances across the cell membrane is type of phase their on, the protein that tells when to replicate.",Does the answer mention the cell membrane?,1,train,c4
29,1429,1.Transcription2.Translation3. Reflection,Does the answer mention the cell membrane?,0,train,c4
